Family,TAXON,European category,European criteria,"EU 27
regional category",EU 27 regional criteria,Endemic to Europe,Endemic to EU 27
Apidae,Thyreus affinis,LC,,LC,,,
Apidae,Thyreus elegans,DD,,DD,,,
Apidae,Thyreus hellenicus,DD,,DD,,,
Apidae,Thyreus hirtus,LC,,LC,,,
Apidae,Thyreus histrionicus,LC,,LC,,,
Apidae,Thyreus hohmanni,LC,,LC,,Yes,Yes
Apidae,Thyreus orbatus,LC,,LC,,,
Apidae,Thyreus picaron,LC,,LC,,,
Apidae,Thyreus ramosus,LC,,LC,,,
Apidae,Thyreus scutellaris,DD,,DD,,,
Apidae,Thyreus tricuspis,NA,,NA,,,
Apidae,Thyreus truncatus,LC,,LC,,,
Apidae,Triepeolus tristis,NT,B2b(ii),NT,B2b(ii),,
Apidae,Xylocopa amedaei,NA,,NA,,,
Apidae,Xylocopa cantabrita,LC,,LC,,,
Apidae,Xylocopa iris,LC,,LC,,,
Apidae,Xylocopa nigrita,NA,,NA,,,
Apidae,Xylocopa olivieri,LC,,LC,,,
Apidae,Xylocopa pubescens,LC,,LC,,,
Apidae,Xylocopa valga,LC,,LC,,,
Apidae,Xylocopa violacea,LC,,LC,,,
Apidae,Xylocopa virginica,NA,,NA,,,
Colletidae,Colletes abeillei,LC,,LC,,,
Colletidae,Colletes acutiformis,DD,,DD,,,
Colletidae,Colletes acutus,LC,,LC,,,
Colletidae,Colletes albomaculatus,NT,"B2b(iii,v)",NT,"B2b(iii,v)",,
Colletidae,Colletes anceps,DD,,DD,,,
Colletidae,Colletes anchusae,EN,B2ab(iii),EN,B2ab(iii),,
Colletidae,Colletes brevigena,LC,,LC,,,
Colletidae,Colletes canescens,DD,,DD,,,
Colletidae,Colletes carinatus,LC,,LC,,,
Colletidae,Colletes cariniger,LC,,LC,,,
Colletidae,Colletes caskanus,DD,,DD,,,
Colletidae,Colletes caspicus,EN,"B2ab(i,iii)",CR," B2ab(i,iii)",,
Colletidae,Colletes chengtehensis,VU,B2ab(iii),EN,B2ab(iii),,
Colletidae,Colletes collaris,EN,B2ab(iii),EN,B2ab(iii),,
Colletidae,Colletes creticus,LC,,LC,,Yes,Yes
Colletidae,Colletes cunicularius,LC,,LC,,,
Colletidae,Colletes cyprius,LC,,LC,,Yes,Yes
Colletidae,Colletes daviesanus,LC,,LC,,,
Colletidae,Colletes dimidiatus,LC,,LC,,Yes,Yes
Colletidae,Colletes dinizi,LC,,LC,,Yes,Yes
Colletidae,Colletes dusmeti,LC,,LC,,,
Colletidae,Colletes eous,LC,,LC,,,
Colletidae,Colletes escalerai,NA,,NA,,,
Colletidae,Colletes floralis,NT,B2ab(iii),NT,B2ab(iii),,
Colletidae,Colletes fodiens,NT,B2ab(iii),NT,B2ab(iii),,
Colletidae,Colletes foveolaris,LC,,LC,,,
Colletidae,Colletes gallicus,LC,,LC,,,
Colletidae,Colletes graeffei,EN,"B2ab(ii,iii)",EN,"B2ab(ii,iii)",,
Colletidae,Colletes halophilus,NT,B2b(iii),NT,B2b(iii),Yes,
Colletidae,Colletes hederae,LC,,LC,,Yes,
Colletidae,Colletes hethiticus,DD,,DD,,,
Colletidae,Colletes hylaeiformis,LC,,LC,,,
Colletidae,Colletes impunctatus,NT,B2b(iii),NT,B2ab(iii),,
Colletidae,Colletes inexpectatus,LC,,LC,,,
Colletidae,Colletes intricans,NA,,NA,,,
Colletidae,Colletes jansmiti,DD,,DD,,Yes,Yes
Colletidae,Colletes kozlovi,DD,,DD,,,
Colletidae,Colletes ligatus,LC,,LC,,,
Colletidae,Colletes maidli,LC,,LC,,,
Colletidae,Colletes marginatus,LC,,LC,,,
Colletidae,Colletes merceti,CR,"B1ab(ii,iii)+2ab(ii,iii)",CR,"B1ab(ii,iii)+2ab(ii,iii)",Yes,Yes
Colletidae,Colletes meyeri,EN,B2ab(iii),EN,B2ab(iii),,
Colletidae,Colletes mlokossewiczi,LC,,LC,,,
Colletidae,Colletes moricei,VU,B1ab(iii)+2ab(iii),VU,B1ab(iii)+2ab(iii),Yes,Yes
Colletidae,Colletes nasutus,EN,"B2ab(ii,iii)",EN,"B2ab(ii,iii)",,
Colletidae,Colletes nigricans,LC,,LC,,,
Colletidae,Colletes noskiewiczi,LC,,LC,,,
Colletidae,Colletes pannonicus,LC,,LC,,Yes,Yes
Colletidae,Colletes perezi,LC,,LC,,,
Colletidae,Colletes pulchellus,VU,B2ab(iii),VU,B2ab(iii),Yes,Yes
Colletidae,Colletes punctatus,EN,B2ab(iii),EN,B2ab(iii),,
Colletidae,Colletes schmidi,NT,B1b(iii)+2b(iii),NT,B1b(iii)+2b(iii),Yes,Yes
Colletidae,Colletes senilis,DD,,DD,,,
Colletidae,Colletes sidemii,NA,,,,,
Colletidae,Colletes sierrensis,EN,"B2ab(ii,iii)",EN,"B2ab(ii,iii)",Yes,
Colletidae,Colletes similis,LC,,LC,,,
Colletidae,Colletes squamulosus,NA,,NA,,,
Colletidae,Colletes standfussi,DD,,DD,,Yes,Yes
Colletidae,Colletes succinctus,LC,,LC,,,
Colletidae,Colletes tardus,DD,,,,Yes,
Colletidae,Colletes tuberculatus,LC,,LC,,,
Colletidae,Colletes tuberculiger,LC,,LC,,Yes,Yes
Colletidae,Colletes wacki,NA,,,,,
Colletidae,Colletes wolfi,EN,B2ab(iii),EN,B2ab(iii),Yes,Yes
Colletidae,Hylaeus absolutus,DD,,DD,,,
Colletidae,Hylaeus adriaticus,LC,,LC,,Yes,
Colletidae,Hylaeus alpinus,LC,,LC,,Yes,
Colletidae,Hylaeus angustatus,LC,,LC,,,
Colletidae,Hylaeus annularis,LC,,LC,,,
Colletidae,Hylaeus annulatus,LC,,LC,,,
Colletidae,Hylaeus ater,LC,,LC,,Yes,Yes
Colletidae,Hylaeus azorae,DD,,DD,,Yes,Yes
Colletidae,Hylaeus biarmicus,NA,,NA,,,
Colletidae,Hylaeus bifasciatus,NT,B2a,NT,B2a,,
Colletidae,Hylaeus brachycephalus,LC,,LC,,,
Colletidae,Hylaeus brevicornis,LC,,LC,,,
Colletidae,Hylaeus canariensis,LC,,LC,,Yes,Yes
Colletidae,Hylaeus cardioscapus,LC,,LC,,,
Colletidae,Hylaeus clypearis,LC,,LC,,,
Colletidae,Hylaeus communis,LC,,LC,,,
Colletidae,Hylaeus conformis,NA,,NA,,,
Colletidae,Hylaeus confusus,LC,,LC,,,
Colletidae,Hylaeus convergens,LC,,LC,,Yes,Yes
Colletidae,Hylaeus coriaceus,LC,,LC,,,
Colletidae,Hylaeus cornutus,LC,,LC,,,
Colletidae,Hylaeus crassanus,NT,B2b(ii),NT,B2b(ii),,
Colletidae,Hylaeus cypricola,LC,,LC,,,
Colletidae,Hylaeus deceptorius,LC,,LC,,Yes,Yes
Colletidae,Hylaeus decipiens,LC,,LC,,Yes,
Colletidae,Hylaeus difformis,LC,,LC,,,
Colletidae,Hylaeus dilatatus,LC,,LC,,,
Colletidae,Hylaeus duckei,LC,,LC,,,
Colletidae,Hylaeus euryscapus,LC,,LC,,,
Colletidae,Hylaeus friesei,NT,B2b(iii),NT,B2b(iii),Yes,
Colletidae,Hylaeus garrulus,LC,,LC,,Yes,Yes
Colletidae,Hylaeus gazagnairei,NA,,NA,,,
Colletidae,Hylaeus gibbus,LC,,LC,,,
Colletidae,Hylaeus glacialis,EN,"B2ab(iii,v)",EN,"B2ab(iii,v)",,
Colletidae,Hylaeus gracilicornis,LC,,LC,,,
Colletidae,Hylaeus gredleri,LC,,LC,,,
Colletidae,Hylaeus hellenicus,EN,B1ab(iii)+2ab(iii),EN,B1ab(iii)+2ab(iii),Yes,Yes
Colletidae,Hylaeus hohmanni,LC,,LC,,Yes,Yes
Colletidae,Hylaeus hyalinatus,LC,,LC,,,
Colletidae,Hylaeus hyperpunctatus,LC,,LC,,Yes,
Colletidae,Hylaeus hyrcanius,NA,,,,,
Colletidae,Hylaeus ibericus,EN,B2ab(iii),EN,B2ab(iii),Yes,Yes
Colletidae,Hylaeus imparilis,LC,,LC,,,
Colletidae,Hylaeus incongruus,LC,,LC,,,
Colletidae,Hylaeus intermedius,LC,,LC,,,
Colletidae,Hylaeus kahri,LC,,LC,,,
Colletidae,Hylaeus koenigsmanni,EN,B1ab(iii)+2ab(iii),EN,B1ab(iii)+2ab(iii),Yes,Yes
Colletidae,Hylaeus leptocephalus,LC,,LC,,,
Colletidae,Hylaeus lineolatus,LC,,LC,,,
Colletidae,Hylaeus longimacula,LC,,LC,,,
Colletidae,Hylaeus maderensis,DD,,DD,,Yes,Yes
Colletidae,Hylaeus mariannae,EN,B1ab(iii)+2ab(iii),EN,B1ab(iii)+2ab(iii),Yes,Yes
Colletidae,Hylaeus meridionalis,DD,,DD,,,
Colletidae,Hylaeus moniae,DD,,DD,,Yes,Yes
Colletidae,Hylaeus nigrifacies,LC,,LC,,,
Colletidae,Hylaeus nigritus,LC,,LC,,,
Colletidae,Hylaeus nivaliformis,LC,,LC,,Yes,
Colletidae,Hylaeus nivalis,LC,,LC,,Yes,
Colletidae,Hylaeus pallidicornis,DD,,,,,
Colletidae,Hylaeus paulus,LC,,LC,,,
Colletidae,Hylaeus pectoralis,LC,,LC,,,
Colletidae,Hylaeus penalaris,LC,,LC,,Yes,Yes
Colletidae,Hylaeus pfankuchi,LC,,LC,,,
Colletidae,Hylaeus pictipes,LC,,LC,,,
Colletidae,Hylaeus pictus,LC,,LC,,,
Colletidae,Hylaeus pilosulus,LC,,LC,,,
Colletidae,Hylaeus punctatus,LC,,LC,,,
Colletidae,Hylaeus punctulatissimus,LC,,LC,,,
Colletidae,Hylaeus punctus,LC,,LC,,,
Colletidae,Hylaeus purpurissatus,LC,,LC,,,
Colletidae,Hylaeus pyrenaicus,NT,B2b(iii),NT,B2b(iii),Yes,
Colletidae,Hylaeus rinki,LC,,LC,,,
Colletidae,Hylaeus rubicola,LC,,LC,,,
Colletidae,Hylaeus rugicollis,DD,,,,,
Colletidae,Hylaeus scutellaris,NA,,,,,
Colletidae,Hylaeus scutellatus,LC,,LC,,,
Colletidae,Hylaeus sidensis,DD,,DD,,,
Colletidae,Hylaeus signatus,LC,,LC,,,
Colletidae,Hylaeus sinuatus,LC,,LC,,,
Colletidae,Hylaeus soror,LC,,LC,,,
Colletidae,Hylaeus styriacus,LC,,LC,,,
Colletidae,Hylaeus sulphuripes,LC,,LC,,,
Colletidae,Hylaeus taeniolatus,LC,,LC,,,
Colletidae,Hylaeus teruelus,LC,,LC,,Yes,Yes
Colletidae,Hylaeus trifidus,LC,,LC,,,
Colletidae,Hylaeus trinotatus,LC,,LC,,,
Colletidae,Hylaeus tyrolensis,LC,,LC,,,
Colletidae,Hylaeus variegatus,LC,,LC,,,
Halictidae,Ceylalictus variegatus,LC,,LC,,,
Halictidae,Dufourea alpina,LC,,LC,,Yes,
Halictidae,Dufourea balearica,VU,D2,VU,D2,Yes,Yes
Halictidae,Dufourea coeruleocephala,DD,,,,Yes,
Halictidae,Dufourea cypria,DD,,DD,,,
Halictidae,Dufourea dentiventris,NT,A2c,NT,A2c,,
Halictidae,Dufourea fortunata,DD,,DD,,Yes,Yes
Halictidae,Dufourea gaullei,LC,,LC,,,
Halictidae,Dufourea graeca,LC,,LC,,,
Halictidae,Dufourea halictula,VU,B2ab(iii),VU,B2ab(iii),,
Halictidae,Dufourea inermis,EN,B2ab(iii),EN,B2ab(iii),,
Halictidae,Dufourea iris,DD,,DD,,Yes,Yes
Halictidae,Dufourea longiglossa,DD,,DD,,Yes,Yes
Halictidae,Dufourea lusitanica,LC,,LC,,Yes,Yes
Halictidae,Dufourea merceti,DD,,DD,,Yes,Yes
Halictidae,Dufourea minuta,VU,B2ab(iii),VU,B2ab(iii),,
Halictidae,Dufourea paradoxa,LC,,LC,,,
Halictidae,Dufourea similis,NA,,NA,,,
Halictidae,Dufourea styx,LC,,LC,,Yes,
Halictidae,Dufourea trautmanni,LC,,LC,,Yes,Yes
Halictidae,Dufourea wolfi,LC,,LC,,,
Halictidae,Halictus adjikenticus,EN,B2ab(iii),EN,B2ab(iii),,
Halictidae,Halictus alfkenellus,DD,,DD,,,
Halictidae,Halictus asperulus,LC,,LC,,,
Halictidae,Halictus brunnescens,LC,,LC,,,
Halictidae,Halictus candiae,EN,B2ab(iii),EN,B2ab(iii),Yes,Yes
Halictidae,Halictus carinthiacus,EN,B2ab(iii),EN,B2ab(iii),Yes,
Halictidae,Halictus centaureae,NT,B2a,NT,B2a,Yes,
Halictidae,Halictus cochlearitarsis,LC,,LC,,,
Halictidae,Halictus compressus,LC,,LC,,,
Halictidae,Halictus consobrinus,DD,,DD,,,
Halictidae,Halictus constantinensis,NA,,NA,,,
Halictidae,Halictus crenicornis,LC,,LC,,Yes,Yes
Halictidae,Halictus fatsensis,LC,,LC,,,
Halictidae,Halictus frontalis,LC,,LC,,Yes,Yes
Halictidae,Halictus fulvipes,LC,,LC,,,
Halictidae,Halictus fumatipennis,DD,,DD,,Yes,Yes
Halictidae,Halictus graecus,NT,B2ab(iii),NT,B2ab(iii),,
Halictidae,Halictus grossellus,DD,,DD,,,
Halictidae,Halictus gruenwaldti,LC,,LC,,Yes,Yes
Halictidae,Halictus holomelaenus,LC,,LC,,Yes,Yes
Halictidae,Halictus jaramielicus,DD,,DD,,Yes,Yes
Halictidae,Halictus langobardicus,LC,,LC,,Yes,
Halictidae,Halictus luganicus,NA,,,,,
Halictidae,Halictus lussinicus,DD,,DD,,Yes,
Halictidae,Halictus maculatus,LC,,LC,,,
Halictidae,Halictus mediterranellus,NT,B2a,NT,B2a,Yes,Yes
Halictidae,Halictus minor,NA,,,,,
Halictidae,Halictus nicosiae,LC,,LC,,Yes,Yes
Halictidae,Halictus patellatus,LC,,LC,,,
Halictidae,Halictus pentheri,NT,B2b(ii),NT,B2b(ii),,
Halictidae,Halictus ponticus,DD,,DD,,Yes,
Halictidae,Halictus pseudotetrazonius,DD,,DD,,Yes,Yes
Halictidae,Halictus pyrenaeus,EN,B1ab(iii)+2ab(iii),EN,B1ab(iii)+2ab(iii),Yes,Yes
Halictidae,Halictus quadricinctus,LC,,LC,,,
Halictidae,Halictus quadripartitus,LC,,LC,,Yes,Yes
Halictidae,Halictus resurgens,LC,,LC,,,
Halictidae,Halictus rossicus,DD,,,,Yes,
Halictidae,Halictus rubicundus,LC,,LC,,,
Halictidae,Halictus rufipes,NA,,NA,,,
Halictidae,Halictus sajoi,LC,,LC,,,
Halictidae,Halictus scabiosae,LC,,LC,,,
Halictidae,Halictus senilis,NA,,NA,,,
Halictidae,Halictus sexcinctus,LC,,LC,,,
Halictidae,Halictus simplex,LC,,LC,,,
Halictidae,Halictus subsenilis,DD,,DD,,,
Halictidae,Halictus tetrazonianellus,LC,,LC,,,
Halictidae,Halictus tetrazonius,NT,A2c,NT,A2c,,
Halictidae,Halictus toparensis,DD,,DD,,Yes,Yes
Halictidae,Halictus tridivisus,DD,,DD,,Yes,Yes
Halictidae,Lasioglossum acephaloides,NT,B2b(ii),NT,B2b(ii),,
Halictidae,Lasioglossum aegyptiellum,LC,,LC,,,
Halictidae,Lasioglossum aeratum,LC,,LC,,,
Halictidae,Lasioglossum akroundicum,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum albipes,LC,,LC,,,
Halictidae,Lasioglossum albocinctum,LC,,LC,,,
Halictidae,Lasioglossum albovirens,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum algericolellum,LC,,LC,,,
Halictidae,Lasioglossum algirum,EN,B2ab(iii),EN,B2ab(iii),,
Halictidae,Lasioglossum alinense,NA,,,,,
Halictidae,Lasioglossum alpigenum,LC,,LC,,Yes,
Halictidae,Lasioglossum andromeda,NA,,NA,,,
Halictidae,Lasioglossum anellum,LC,,LC,,,
Halictidae,Lasioglossum angusticeps,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum angustipes,LC,,LC,,,
Halictidae,Lasioglossum annulipes,NA,,NA,,,
Halictidae,Lasioglossum aphrodite,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum apostoli,DD,,DD,,,
Halictidae,Lasioglossum arctifrons,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum ariadne,VU,B1ab(iii)+2ab(iii),VU,B1ab(iii)+2ab(iii),Yes,Yes
Halictidae,Lasioglossum articulare,DD,,DD,,,
Halictidae,Lasioglossum asellum,NA,,NA,,,
Halictidae,Lasioglossum aureimontanum,DD,,DD,,Yes,Yes
Halictidae,Lasioglossum aureolum,LC,,LC,,,
Halictidae,Lasioglossum bavaricum,LC,,LC,,Yes,
Halictidae,Lasioglossum bicallosum,DD,,DD,,,
Halictidae,Lasioglossum bimaculatum,LC,,LC,,,
Halictidae,Lasioglossum bischoffi,LC,,LC,,,
Halictidae,Lasioglossum bluethgeni,LC,,LC,,,
Halictidae,Lasioglossum boreale,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum brevicorne,LC,,LC,,,
Halictidae,Lasioglossum breviventre,EN,"B2ab(i,ii)",EN,"B2ab(i,ii)",Yes,
Halictidae,Lasioglossum buccale,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum calceatum,LC,,LC,,,
Halictidae,Lasioglossum callizonium,LC,,LC,,,
Halictidae,Lasioglossum capitale,LC,,LC,,,
Halictidae,Lasioglossum castilianum,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum chalcodes,VU,"B1ab(ii,iii)+2ab(ii,iii)",VU,"B1ab(ii,iii)+2ab(ii,iii)",Yes,Yes
Halictidae,Lasioglossum clypeare,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum clypeiferellum,LC,,LC,,,
Halictidae,Lasioglossum collopiense,LC,,LC,,,
Halictidae,Lasioglossum convexiusculum,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum corsicanum,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum corvinum,LC,,LC,,,
Halictidae,Lasioglossum costulatum,LC,,LC,,,
Halictidae,Lasioglossum crassepunctatum,LC,,LC,,,
Halictidae,Lasioglossum cristula,LC,,LC,,,
Halictidae,Lasioglossum cupromicans,LC,,LC,,,
Halictidae,Lasioglossum damascenum,LC,,LC,,,
Halictidae,Lasioglossum danuvium,NT,B2b(iii),NT,B2b(iii),Yes,
Halictidae,Lasioglossum debilior,NA,,NA,,,
Halictidae,Lasioglossum denislucum,DD,,DD,,,
Halictidae,Lasioglossum discus,LC,,LC,,,
Halictidae,Lasioglossum dolichocephalum,LC,,LC,,,
Halictidae,Lasioglossum duckei,LC,,LC,,,
Halictidae,Lasioglossum dusmeti,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum edessae,NA,,NA,,,
Halictidae,Lasioglossum elegans,LC,,LC,,,
Halictidae,Lasioglossum ellipticeps,NA,,NA,,,
Halictidae,Lasioglossum epipygiale,NA,,NA,,,
Halictidae,Lasioglossum erraticum,LC,,LC,,,
Halictidae,Lasioglossum euboeense,VU,B2ab(iv),VU,B2ab(iv),,
Halictidae,Lasioglossum eurasicum,LC,,LC,,Yes,
Halictidae,Lasioglossum euxanthopus,NA,,NA,,,
Halictidae,Lasioglossum euxinicum,NA,,NA,,,
Halictidae,Lasioglossum fallax,NA,,,,,
Halictidae,Lasioglossum fratellum,LC,,LC,,,
Halictidae,Lasioglossum fulvicorne,LC,,LC,,,
Halictidae,Lasioglossum gilanum,NA,,,,,
Halictidae,Lasioglossum glabriusculum,LC,,LC,,,
Halictidae,Lasioglossum glaciegenitum,NA,,NA,,,
Halictidae,Lasioglossum gorkiense,NA,,,,,
Halictidae,Lasioglossum griseolum,LC,,LC,,,
Halictidae,Lasioglossum haesitans,LC,,LC,,,
Halictidae,Lasioglossum hethiticum,NA,,NA,,,
Halictidae,Lasioglossum hilare,NA,,NA,,,
Halictidae,Lasioglossum ibericum,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum imbecillum,LC,,LC,,,
Halictidae,Lasioglossum immunitum,LC,,LC,,,
Halictidae,Lasioglossum intermedium,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum interruptum,LC,,LC,,,
Halictidae,Lasioglossum kirgisicum,NA,,,,,
Halictidae,Lasioglossum kotschyi,DD,,DD,,Yes,Yes
Halictidae,Lasioglossum kussariense,LC,,LC,,,
Halictidae,Lasioglossum laeve,VU,"B2ab(i,ii)",VU," B2ab(i,ii)",,
Halictidae,Lasioglossum laevidorsum,NT,B2b(ii),NT,B2b(ii),,
Halictidae,Lasioglossum laevigatum,LC,,LC,,,
Halictidae,Lasioglossum laterale,NT,B2a,NT,B2a,,
Halictidae,Lasioglossum laticeps,LC,,LC,,,
Halictidae,Lasioglossum lativentre,LC,,LC,,,
Halictidae,Lasioglossum leucomontanum,EN,B1ab(iii)+2ab(iii),EN,B1ab(iii)+2ab(iii),Yes,Yes
Halictidae,Lasioglossum leucopus,LC,,LC,,,
Halictidae,Lasioglossum leucozonium,LC,,LC,,,
Halictidae,Lasioglossum limbelloides,LC,,LC,,,
Halictidae,Lasioglossum limbellum,LC,,LC,,,
Halictidae,Lasioglossum lineare,LC,,LC,,,
Halictidae,Lasioglossum lissonotum,NT,B2b(v),NT,B2b(v),Yes,
Halictidae,Lasioglossum littorale,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum loetum,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum longirostre,NA,,NA,,,
Halictidae,Lasioglossum lucidulum,LC,,LC,,,
Halictidae,Lasioglossum majus,LC,,LC,,,
Halictidae,Lasioglossum malachurum,LC,,LC,,,
Halictidae,Lasioglossum mandibulare,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum marginatum,LC,,LC,,,
Halictidae,Lasioglossum marginellum,NT,B2b(ii),NT,B2b(ii),,
Halictidae,Lasioglossum maurusium,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum medinai,LC,,LC,,,
Halictidae,Lasioglossum mediterraneum,LC,,LC,,,
Halictidae,Lasioglossum mesosclerum,LC,,LC,,,
Halictidae,Lasioglossum minutissimum,LC,,LC,,,
Halictidae,Lasioglossum minutulum,NT,B2b(iii),NT,B2b(iii),Yes,
Halictidae,Lasioglossum monstrificum,LC,,LC,,,
Halictidae,Lasioglossum montivolans,DD,,DD,,Yes,Yes
Halictidae,Lasioglossum morio,LC,,LC,,,
Halictidae,Lasioglossum musculoides,NA,,NA,,,
Halictidae,Lasioglossum nigripes,LC,,LC,,,
Halictidae,Lasioglossum nitidiusculum,LC,,LC,,,
Halictidae,Lasioglossum nitidulum,LC,,LC,,,
Halictidae,Lasioglossum niveocinctum,NA,,,,,
Halictidae,Lasioglossum obscuratum,LC,,LC,,,
Halictidae,Lasioglossum orihuelicum,NT,B2b(iii),NT,B2b(iii),Yes,Yes
Halictidae,Lasioglossum pallens,LC,,LC,,,
Halictidae,Lasioglossum pallidum,NA,,,,,
Halictidae,Lasioglossum parvulum,LC,,LC,,,
Halictidae,Lasioglossum pauperatum,LC,,LC,,,
Halictidae,Lasioglossum pauxillum,LC,,LC,,,
Halictidae,Lasioglossum perclavipes,LC,,LC,,,
Halictidae,Lasioglossum peregrinum,VU,B2ab(iii),VU,B2ab(iii),,
Halictidae,Lasioglossum phoenicurum,DD,,DD,,,
Halictidae,Lasioglossum pleurospeculum,NT,B2b(iii),NT,B2b(iii),Yes,
Halictidae,Lasioglossum podolicum,LC,,LC,,,
Halictidae,Lasioglossum politum,LC,,LC,,,
Halictidae,Lasioglossum prasinum,LC,,LC,,,
Halictidae,Lasioglossum pressithorax,LC,,LC,,,
Halictidae,Lasioglossum prunellum,NA,,NA,,,
Halictidae,Lasioglossum pseudocaspicum,LC,,LC,,,
Halictidae,Lasioglossum pseudoleptocephalum,NT,B2a,NT,B2a,,
Halictidae,Lasioglossum pseudoplanulum,LC,,LC,,,
Halictidae,Lasioglossum punctatissimum,LC,,LC,,,
Halictidae,Lasioglossum puncticolle,LC,,LC,,,
Halictidae,Lasioglossum pygmaeum,LC,,LC,,,
Halictidae,Lasioglossum quadrinotatulum,LC,,LC,,,
Halictidae,Lasioglossum quadrinotatum,LC,,LC,,,
Halictidae,Lasioglossum quadrisignatum,EN,B2ab(iii),EN,B2ab(iii) ,,
Halictidae,Lasioglossum ragusanum,LC,,LC,,Yes,
Halictidae,Lasioglossum rostratum,NA,,,,,
Halictidae,Lasioglossum rufitarse,LC,,LC,,,
Halictidae,Lasioglossum rupestre,NA,,NA,,,
Halictidae,Lasioglossum salinum,NA,,NA,,,
Halictidae,Lasioglossum samaricum,DD,,DD,,,
Halictidae,Lasioglossum semilucens,LC,,LC,,,
Halictidae,Lasioglossum setulellum,EN,B2ab(iii),EN,B2ab(iii),,
Halictidae,Lasioglossum setulosum,EN,B2ab(iii),EN,B2ab(iii),Yes,
Halictidae,Lasioglossum sexmaculatum,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum sexnotatulum,EN,B2ab(v),EN,B2ab(v),,
Halictidae,Lasioglossum sexnotatum,LC,,LC,,,
Halictidae,Lasioglossum sexstrigatum,LC,,LC,,,
Halictidae,Lasioglossum smeathmanellum,LC,,LC,,,
Halictidae,Lasioglossum soror,LC,,LC,,,
Halictidae,Lasioglossum sphecodimorphum,LC,,LC,,,
Halictidae,Lasioglossum strictifrons,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum subaenescens,NT,B2a,NT,B2a,,
Halictidae,Lasioglossum subfasciatum,VU,B2ab(iii),VU,B2ab(iii),,
Halictidae,Lasioglossum subfulvicorne,LC,,LC,,,
Halictidae,Lasioglossum subhirtum,LC,,LC,,,
Halictidae,Lasioglossum tarsatum,NT,B2b(iii),NT,B2b(iii),,
Halictidae,Lasioglossum tauricum,DD,,,,Yes,
Halictidae,Lasioglossum transitorium,LC,,LC,,,
Halictidae,Lasioglossum trichopygum,LC,,LC,,,
Halictidae,Lasioglossum tricinctum,LC,,LC,,,
Halictidae,Lasioglossum truncaticolle,LC,,LC,,,
Halictidae,Lasioglossum tschibuklinum,DD,,DD,,,
Halictidae,Lasioglossum tungusicum,NA,,,,,
Halictidae,Lasioglossum vergilianum,DD,,DD,,Yes,Yes
Halictidae,Lasioglossum villosulum,LC,,LC,,,
Halictidae,Lasioglossum virens,VU,B2ab(iii),VU,B2ab(iii),,
Halictidae,Lasioglossum viride,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum wollastoni,LC,,LC,,Yes,Yes
Halictidae,Lasioglossum xanthopus,LC,,LC,,,
Halictidae,Lasioglossum zonulum,LC,,LC,,,
Halictidae,Nomiapis bispinosa,LC,,LC,,,
Halictidae,Nomiapis diversipes,LC,,LC,,,
Halictidae,Nomiapis equestris,LC,,LC,,,
Halictidae,Nomiapis femoralis,EN,"B2ab(ii,iii,iv,v)",EN,"B2ab(ii,iii,iv,v)",,
Halictidae,Nomiapis fugax,NA,,,,,
Halictidae,Nomiapis monstrosa,LC,,LC,,,
Halictidae,Nomiapis paulyi,LC,,LC,,Yes,Yes
Halictidae,Nomiapis rufiventris,NA,,NA,,,
Halictidae,Nomiapis susannae,LC,,LC,,Yes,Yes
Halictidae,Nomiapis valga,EN,B2ab(ii),EN,B2ab(ii),,
Halictidae,Nomioides chalybeatus,NA,,NA,,,
Halictidae,Nomioides deceptor,LC,,LC,,,
Halictidae,Nomioides facilis,LC,,LC,,,
Halictidae,Nomioides fortunatus,LC,,LC,,,
Halictidae,Nomioides minutissimus,LC,,LC,,,
Halictidae,Nomioides pulverosus,NA,,,,,
Halictidae,Pseudapis elegantissima,NA,,,,,
Halictidae,Rhophitoides canus,LC,,NT,B2b(ii),,
Halictidae,Rhophitoides epiroticus,LC,,LC,,Yes,
Halictidae,Rophites algirus,LC,,LC,,,
Halictidae,Rophites clypealis,NA,,NA,,,
