TAXON;Records_1921-1940;Records_1941-1960;Records_1961-1980;Records_1981-2000;Records_2001-2020;Trend_mediterranean;Trend_alpine;Trend_atlantic;Trend_boreal;Trend_continental;;;
Andrena barbilabris;472;621;1247;3288;8084;0.073774985073277;0.00898821883920484;-0.00723141206873151;-0.0290418963932086;-0.00640871793717592;;;
Andrena batava;7;17;4;13;92;NA;NA;NA;NA;NA;;;
Andrena bayona;0;4;1;0;11;0.368495455948145;NA;NA;NA;NA;;;
Andrena bellidis;0;5;8;8;72;NA;NA;NA;NA;NA;;;
Andrena benoisti;0;0;2;18;8;0.476159420490202;NA;NA;NA;NA;;;
Andrena bicolor;604;750;2800;8182;14504;NA;NA;NA;NA;NA;;;
Andrena bicolorata;14;3;7;22;44;-0.0562130749083145;NA;NA;NA;NA;;;
Andrena biguttata;0;0;15;5;0;NA;NA;NA;NA;NA;;;
Andrena bimaculata;201;136;237;928;1349;-0.0378133390202141;-0.000809647227045061;-0.0302685322046033;-0.0444271545808566;-0.0325389147036814;;;
Andrena binominata;0;1;3;1;13;NA;NA;NA;NA;NA;;;
Andrena bisulcata;1;1;2;1;7;-0.251704505361824;NA;NA;NA;NA;;;
Andrena blanda;0;0;0;4;15;NA;NA;NA;NA;NA;;;
Andrena braunsiana;0;0;0;0;2;NA;NA;NA;NA;NA;;;
Andrena brumanensis;2;0;9;27;44;NA;NA;NA;NA;NA;;;
Andrena bucephala;20;31;159;658;537;NA;-0.0210373380333525;-0.022897890158937;NA;0.0168615776183139;;;
Andrena caneae;2;3;6;0;0;NA;NA;NA;NA;NA;;;
Andrena canohirta;0;0;0;0;4;NA;NA;NA;NA;NA;;;
Andrena cervina;0;0;0;5;10;NA;NA;NA;NA;NA;;;
Andrena chaetogastra;2;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena chrysopus;0;6;0;4;21;NA;0.450930854410986;NA;NA;0.0898892357992126;;;
Andrena chrysopyga;3;47;8;7;21;NA;NA;NA;NA;NA;;;
Andrena chrysosceles;190;245;1209;4424;6527;NA;0.0199038277818172;0.0380319596869464;0.0214817821748031;-0.00287740763725573;;;
Andrena cilissaeformis;0;0;0;8;29;-0.000400758947063092;NA;NA;NA;NA;;;
Andrena cineraria;599;610;805;2511;13174;-0.000792094995533139;0.0133311225504066;0.0341467064347237;0.0218595389491939;0.0517829513576836;;;
Andrena cinerea;4;15;65;177;237;-0.000771772472487558;0.0253717872075783;NA;NA;NA;;;
Andrena cinereophila;0;0;1;4;20;0.0809565014415892;NA;NA;NA;NA;;;
Andrena clarkella;524;481;1166;2841;9357;NA;0.00906550704400828;-0.0237785520855308;0.0126938830766415;0.0132084669011226;;;
Andrena clypella;0;0;20;17;26;NA;NA;NA;NA;NA;;;
Andrena coitana;523;594;756;751;777;NA;-0.00961570014826988;-0.0346762601038439;-0.0426715959346465;-0.038703044507996;;;
Andrena colletiformis;8;26;68;29;97;NA;NA;NA;NA;NA;;;
Andrena combaella;1;0;9;0;28;-0.0219584845224313;-0.250885746236482;NA;NA;NA;;;
Andrena combinata;128;77;117;210;654;NA;NA;NA;NA;NA;;;
Andrena compta;1;0;0;1;0;NA;NA;NA;NA;NA;;;
Andrena concinna;0;0;0;6;15;NA;NA;NA;NA;NA;;;
Andrena confinis;38;4;0;5;17;NA;NA;NA;NA;NA;;;
Andrena congruens;29;24;72;47;441;0.0905927386043056;-0.0277124866882427;-0.0107994388879001;-0.0208031996541761;-0.0357436939586978;;;
Andrena contracta;0;0;0;2;4;NA;NA;NA;NA;NA;;;
Andrena corax;0;0;7;41;27;-0.0635315342161825;NA;NA;NA;NA;;;
Andrena cordialis;0;0;0;5;5;NA;NA;NA;NA;NA;;;
Andrena corssubalpina;0;0;0;0;5;NA;NA;NA;NA;NA;;;
Andrena crassana;0;0;6;2;1;NA;NA;NA;NA;NA;;;
Andrena crepidis;1;0;0;0;6;NA;NA;NA;NA;NA;;;
Andrena croatica;0;1;0;0;0;NA;NA;NA;NA;NA;;;
Andrena croceiventris;1;0;5;2;0;NA;NA;NA;NA;NA;;;
Andrena curtivalvis;0;0;10;0;6;NA;NA;NA;NA;NA;;;
Andrena curvana;0;0;7;8;10;NA;-0.0409615327795419;NA;NA;0.553880454324017;;;
Andrena curvungula;90;149;53;127;506;-0.0066854587485157;0.0599607187705449;-0.101593223836295;-0.0319745135633351;-0.00268276112629252;;;
Andrena cyanomicans;0;0;15;13;23;0.0344027544567797;NA;NA;NA;NA;;;
Andrena cypria;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena danuvia;0;0;0;1;24;NA;NA;NA;NA;NA;;;
Andrena dargia;0;0;0;0;7;NA;NA;NA;NA;NA;;;
Andrena decipiens;15;13;27;102;72;NA;NA;NA;NA;NA;;;
Andrena delphiensis;0;0;0;2;0;NA;NA;NA;NA;NA;;;
Andrena denticulata;301;423;693;1383;4788;NA;-0.00270440865051897;0.00558153819586265;0.0115151373019492;-0.00551833330145536;;;
Andrena dinizi;0;0;3;1;0;NA;NA;NA;NA;NA;;;
Andrena discors;0;0;16;6;35;NA;NA;NA;NA;NA;;;
Andrena distinguenda;35;43;52;61;29;-0.0229228473501446;NA;NA;NA;-0.0344946402484605;;;
Andrena djelfensis;0;0;8;25;59;NA;NA;NA;NA;NA;;;
Andrena dorsalis;0;0;2;1;5;NA;NA;NA;NA;NA;;;
Andrena dorsata;186;426;816;4907;9386;NA;NA;NA;NA;NA;;;
Andrena doursana;0;0;1;3;4;NA;NA;NA;NA;NA;;;
Andrena ebmerella;0;0;0;2;0;NA;NA;NA;NA;NA;;;
Andrena elata;0;0;1;51;0;0.0124992867579879;NA;NA;NA;NA;;;
Andrena elegans;0;0;3;2;3;NA;NA;NA;NA;NA;;;
Andrena elmaria;0;1;2;3;7;-0.0190352613169563;NA;NA;NA;NA;;;
Andrena enslinella;0;0;0;3;3;NA;NA;NA;NA;NA;;;
Andrena erberi;0;1;2;3;2;NA;NA;NA;NA;NA;;;
Andrena erodiorum;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena exigua;0;0;3;0;0;NA;NA;NA;NA;NA;;;
Andrena exquisita;0;0;0;1;5;NA;NA;NA;NA;NA;;;
Andrena fabrella;2;10;63;154;176;-0.00774959818254085;NA;NA;NA;NA;;;
Andrena falcinella;0;0;0;0;7;NA;NA;NA;NA;NA;;;
Andrena fallax;0;0;4;1;2;NA;NA;NA;NA;NA;;;
Andrena falsifica;186;249;473;362;1431;NA;NA;NA;NA;NA;;;
Andrena farinosa;0;0;0;21;36;NA;NA;NA;NA;NA;;;
Andrena ferox;21;27;28;91;221;NA;0.0348666053323823;-0.0102205272983346;NA;-0.0311695517522011;;;
Andrena ferrugineicrus;3;4;55;107;68;-0.0100801805591319;NA;NA;NA;NA;;;
Andrena fertoni;0;0;0;9;1;NA;NA;NA;NA;NA;;;
Andrena fimbriata;0;0;0;3;7;NA;NA;NA;NA;NA;;;
Andrena flavilabris;10;0;0;1;10;NA;NA;NA;NA;NA;;;
Andrena flavipes;572;896;3159;10809;25327;NA;NA;NA;NA;NA;;;
Andrena florea;163;269;381;935;2591;-0.0464257165484696;0.024740731544918;0.0443012571463925;NA;0.027882869697092;;;
Andrena florentina;31;12;64;6;47;-0.0495659512377511;NA;NA;NA;-0.148056614466134;;;
Andrena floricola;9;13;29;30;78;NA;NA;NA;NA;NA;;;
Andrena florivaga;1;0;1;2;42;NA;NA;NA;NA;0.0171835495729827;;;
Andrena foeniculae;0;0;0;1;4;NA;NA;NA;NA;NA;;;
Andrena forsterella;3;0;2;3;17;NA;NA;NA;NA;NA;;;
Andrena fortipunctata;0;0;2;2;0;NA;NA;NA;NA;NA;;;
