Genus,Species,TAXON,European_Category,Taxa_group
Platycheirus,amplus,Platycheirus amplus,LC,Hoverfly
Platycheirus,angustatus,Platycheirus angustatus,LC,Hoverfly
Platycheirus,angustipes,Platycheirus angustipes,LC,Hoverfly
Platycheirus,aurolateralis,Platycheirus aurolateralis,LC,Hoverfly
Platycheirus,brunnifrons,Platycheirus brunnifrons,LC,Hoverfly
Platycheirus,caesius,Platycheirus caesius,EN,Hoverfly
Platycheirus,chilosia,Platycheirus chilosia,LC,Hoverfly
Platycheirus,ciliatus,Platycheirus ciliatus,CR,Hoverfly
Platycheirus,cintoensis,Platycheirus cintoensis,DD,Hoverfly
Platycheirus,clausseni,Platycheirus clausseni,EN,Hoverfly
Platycheirus,clypeatus,Platycheirus clypeatus,LC,Hoverfly
Platycheirus,complicatus,Platycheirus complicatus,LC,Hoverfly
Platycheirus,discimanus,Platycheirus discimanus,LC,Hoverfly
Platycheirus,europaeus,Platycheirus europaeus,LC,Hoverfly
Platycheirus,fasciculatus,Platycheirus fasciculatus,NT,Hoverfly
Platycheirus,fimbriatus,Platycheirus fimbriatus,DD,Hoverfly
Platycheirus,fulviventris,Platycheirus fulviventris,LC,Hoverfly
Platycheirus,goeldlini,Platycheirus goeldlini,DD,Hoverfly
Platycheirus,groenlandicus,Platycheirus groenlandicus,LC,Hoverfly
Platycheirus,hyperboreus,Platycheirus hyperboreus,LC,Hoverfly
Platycheirus,immaculatus,Platycheirus immaculatus,LC,Hoverfly
Platycheirus,immarginatus,Platycheirus immarginatus,NT,Hoverfly
Platycheirus,islandicus,Platycheirus islandicus,VU,Hoverfly
Platycheirus,jaerensis,Platycheirus jaerensis,LC,Hoverfly
Platycheirus,kittilaensis,Platycheirus kittilaensis,LC,Hoverfly
Platycheirus,laskai,Platycheirus laskai,NT,Hoverfly
Platycheirus,latimanus,Platycheirus latimanus,LC,Hoverfly
Platycheirus,lundbecki,Platycheirus lundbecki,EN,Hoverfly
Platycheirus,magadanensis,Platycheirus magadanensis,DD,Hoverfly
Platycheirus,manicatus,Platycheirus manicatus,LC,Hoverfly
Platycheirus,marokkanus,Platycheirus marokkanus,VU,Hoverfly
Platycheirus,melanopsis,Platycheirus melanopsis,LC,Hoverfly
Platycheirus,meridimontanus,Platycheirus meridimontanus,CR,Hoverfly
Platycheirus,modestus,Platycheirus modestus,CR,Hoverfly
Platycheirus,muelleri,Platycheirus muelleri,EN,Hoverfly
Platycheirus,naso,Platycheirus naso,LC,Hoverfly
Platycheirus,neoperpallidus,Platycheirus neoperpallidus,DD,Hoverfly
Platycheirus,nielseni,Platycheirus nielseni,LC,Hoverfly
Platycheirus,nigrofemoratus,Platycheirus nigrofemoratus,NT,Hoverfly
Platycheirus,occultus,Platycheirus occultus,LC,Hoverfly
Platycheirus,parmatus,Platycheirus parmatus,LC,Hoverfly
Platycheirus,peltatus,Platycheirus peltatus,LC,Hoverfly
Platycheirus,perpallidus,Platycheirus perpallidus,LC,Hoverfly
Platycheirus,podagratus,Platycheirus podagratus,LC,Hoverfly
Platycheirus,ramsarensis,Platycheirus ramsarensis,LC,Hoverfly
Platycheirus,scambus,Platycheirus scambus,LC,Hoverfly
Platycheirus,scutatus,Platycheirus scutatus,LC,Hoverfly
Platycheirus,speighti,Platycheirus speighti,DD,Hoverfly
Platycheirus,splendidus,Platycheirus splendidus,LC,Hoverfly
Platycheirus,sticticus,Platycheirus sticticus,LC,Hoverfly
Platycheirus,subambiguus,Platycheirus subambiguus,NT,Hoverfly
Platycheirus,subordinatus,Platycheirus subordinatus,LC,Hoverfly
Platycheirus,tarsalis,Platycheirus tarsalis,LC,Hoverfly
Platycheirus,tatricus,Platycheirus tatricus,LC,Hoverfly
Platycheirus,transfugus,Platycheirus transfugus,LC,Hoverfly
Platycheirus,urakawensis,Platycheirus urakawensis,EN,Hoverfly
Platycheirus,varipes,Platycheirus varipes,EN,Hoverfly
Platynochaetus,macquarti,Platynochaetus macquarti,VU,Hoverfly
Platynochaetus,setosus,Platynochaetus setosus,LC,Hoverfly
Pocota,personata,Pocota personata,LC,Hoverfly
Portevinia,maculata,Portevinia maculata,LC,Hoverfly
Primocerioides,regale,Primocerioides regale,EN,Hoverfly
Psarus,abdominalis,Psarus abdominalis,VU,Hoverfly
Pseudodoros,nigricollis,Pseudodoros nigricollis,EN,Hoverfly
Pseudopelecocera,latifrons,Pseudopelecocera latifrons,LC,Hoverfly
Psilota,anthracina,Psilota anthracina,LC,Hoverfly
Psilota,atra,Psilota atra,LC,Hoverfly
Psilota,exilistyla,Psilota exilistyla,DD,Hoverfly
Psilota,innupta,Psilota innupta,DD,Hoverfly
Psilota,nana,Psilota nana,EN,Hoverfly
Pyrophaena,granditarsa,Pyrophaena granditarsa,NT,Hoverfly
Pyrophaena,rosarum,Pyrophaena rosarum,LC,Hoverfly
Rhingia,borealis,Rhingia borealis,LC,Hoverfly
Rhingia,campestris,Rhingia campestris,LC,Hoverfly
Rhingia,rostrata,Rhingia rostrata,LC,Hoverfly
Riponnensia,daccordii,Riponnensia daccordii,CR,Hoverfly
Riponnensia,insignis,Riponnensia insignis,DD,Hoverfly
Riponnensia,longicornis,Riponnensia longicornis,EN,Hoverfly
Riponnensia,morini,Riponnensia morini,EN,Hoverfly
Riponnensia,splendens,Riponnensia splendens,LC,Hoverfly
Rohdendorfia,alpina,Rohdendorfia alpina,VU,Hoverfly
Scaeva,albomaculata,Scaeva albomaculata,LC,Hoverfly
Scaeva,dignota,Scaeva dignota,LC,Hoverfly
Scaeva,mecogramma,Scaeva mecogramma,LC,Hoverfly
Scaeva,pyrastri,Scaeva pyrastri,LC,Hoverfly
Scaeva,selenitica,Scaeva selenitica,LC,Hoverfly
Sericomyia,arctica,Sericomyia arctica,VU,Hoverfly
Sericomyia,bequaerti,Sericomyia bequaerti,CR,Hoverfly
Sericomyia,bombiformis,Sericomyia bombiformis,LC,Hoverfly
Sericomyia,hispanica,Sericomyia hispanica,NT,Hoverfly
Sericomyia,jakutica,Sericomyia jakutica,VU,Hoverfly
Sericomyia,lappona,Sericomyia lappona,LC,Hoverfly
Sericomyia,nigra,Sericomyia nigra,LC,Hoverfly
Sericomyia,silentis,Sericomyia silentis,LC,Hoverfly
Sericomyia,superbiens,Sericomyia superbiens,LC,Hoverfly
Sericomyia,tolli,Sericomyia tolli,DD,Hoverfly
Spazigaster,ambulans,Spazigaster ambulans,NT,Hoverfly
Sphaerophoria,abbreviata,Sphaerophoria abbreviata,LC,Hoverfly
Sphaerophoria,bankowskae,Sphaerophoria bankowskae,LC,Hoverfly
Sphaerophoria,batava,Sphaerophoria batava,LC,Hoverfly
Sphaerophoria,bengalensis,Sphaerophoria bengalensis,DD,Hoverfly
Sphaerophoria,boreoalpina,Sphaerophoria boreoalpina,LC,Hoverfly
Sphaerophoria,chongjini,Sphaerophoria chongjini,LC,Hoverfly
Sphaerophoria,estebani,Sphaerophoria estebani,DD,Hoverfly
Sphaerophoria,fatarum,Sphaerophoria fatarum,NT,Hoverfly
Sphaerophoria,infuscata,Sphaerophoria infuscata,LC,Hoverfly
Sphaerophoria,interrupta,Sphaerophoria interrupta,LC,Hoverfly
Sphaerophoria,kaa,Sphaerophoria kaa,NT,Hoverfly
Sphaerophoria,laurae,Sphaerophoria laurae,LC,Hoverfly
Sphaerophoria,loewi,Sphaerophoria loewi,NT,Hoverfly
Sphaerophoria,nigra,Sphaerophoria nigra,NT,Hoverfly
Sphaerophoria,pallidula,Sphaerophoria pallidula,LC,Hoverfly
Sphaerophoria,philanthus,Sphaerophoria philanthus,LC,Hoverfly
Sphaerophoria,potentillae,Sphaerophoria potentillae,VU,Hoverfly
Sphaerophoria,rueppelli,Sphaerophoria rueppelli,LC,Hoverfly
Sphaerophoria,scripta,Sphaerophoria scripta,LC,Hoverfly
Sphaerophoria,shirchan,Sphaerophoria shirchan,NT,Hoverfly
Sphaerophoria,taeniata,Sphaerophoria taeniata,LC,Hoverfly
Sphaerophoria,virgata,Sphaerophoria virgata,NT,Hoverfly
Sphecomyia,vespiformis,Sphecomyia vespiformis,NT,Hoverfly
Sphegina,atrolutea,Sphegina atrolutea,EN,Hoverfly
Sphegina,clavata,Sphegina clavata,LC,Hoverfly
Sphegina,clunipes,Sphegina clunipes,LC,Hoverfly
Sphegina,cornifera,Sphegina cornifera,NT,Hoverfly
Sphegina,elegans,Sphegina elegans,LC,Hoverfly
Sphegina,latifrons,Sphegina latifrons,LC,Hoverfly
Sphegina,limbipennis,Sphegina limbipennis,EN,Hoverfly
Sphegina,montana,Sphegina montana,LC,Hoverfly
Sphegina,obscurifacies,Sphegina obscurifacies,EN,Hoverfly
Sphegina,platychira,Sphegina platychira,NT,Hoverfly
Sphegina,sibirica,Sphegina sibirica,LC,Hoverfly
Sphegina,spheginea,Sphegina spheginea,VU,Hoverfly
Sphegina,sublatifrons,Sphegina sublatifrons,EN,Hoverfly
Sphegina,varifacies,Sphegina varifacies,EN,Hoverfly
Sphegina,verecunda,Sphegina verecunda,LC,Hoverfly
Sphiximorpha,euprosopa,Sphiximorpha euprosopa,EN,Hoverfly
Sphiximorpha,garibaldii,Sphiximorpha garibaldii,LC,Hoverfly
Sphiximorpha,petronillae,Sphiximorpha petronillae,EN,Hoverfly
Sphiximorpha,subsessilis,Sphiximorpha subsessilis,LC,Hoverfly
Spilomyia,digitata,Spilomyia digitata,VU,Hoverfly
Spilomyia,diophthalma,Spilomyia diophthalma,LC,Hoverfly
Spilomyia,graciosa,Spilomyia graciosa,EN,Hoverfly
Spilomyia,manicata,Spilomyia manicata,LC,Hoverfly
Spilomyia,maxima,Spilomyia maxima,DD,Hoverfly
Spilomyia,saltuum,Spilomyia saltuum,LC,Hoverfly
Spilomyia,triangulata,Spilomyia triangulata,VU,Hoverfly
Syritta,flaviventris,Syritta flaviventris,LC,Hoverfly
Syritta,pipiens,Syritta pipiens,LC,Hoverfly
Syritta,vittata,Syritta vittata,DD,Hoverfly
Syrphocheilosia,claviventris,Syrphocheilosia claviventris,LC,Hoverfly
Syrphus,admirandus,Syrphus admirandus,DD,Hoverfly
Syrphus,attenuatus,Syrphus attenuatus,LC,Hoverfly
Syrphus,auberti,Syrphus auberti,EN,Hoverfly
Syrphus,niditifrons,Syrphus niditifrons,LC,Hoverfly
Syrphus,rectus,Syrphus rectus,DD,Hoverfly
Syrphus,ribesii,Syrphus ribesii,LC,Hoverfly
Syrphus,sexmaculatus,Syrphus sexmaculatus,LC,Hoverfly
Syrphus,stackelbergi,Syrphus stackelbergi,DD,Hoverfly
Syrphus,torvus,Syrphus torvus,LC,Hoverfly
Syrphus,vitripennis,Syrphus vitripennis,LC,Hoverfly
Temnostoma,angustistriatum,Temnostoma angustistriatum,EN,Hoverfly
Temnostoma,apiforme,Temnostoma apiforme,NT,Hoverfly
Temnostoma,bombylans,Temnostoma bombylans,LC,Hoverfly
Temnostoma,carens,Temnostoma carens,NT,Hoverfly
Temnostoma,meridionale,Temnostoma meridionale,NT,Hoverfly
Temnostoma,sericomyiaeforme,Temnostoma sericomyiaeforme,VU,Hoverfly
Temnostoma,vespiformis,Temnostoma vespiformis,LC,Hoverfly
Trichopsomyia,flavitarsis,Trichopsomyia flavitarsis,LC,Hoverfly
Trichopsomyia,joratensis,Trichopsomyia joratensis,LC,Hoverfly
Trichopsomyia,lucida,Trichopsomyia lucida,VU,Hoverfly
Triglyphus,escalerai,Triglyphus escalerai,EN,Hoverfly
Triglyphus,primus,Triglyphus primus,LC,Hoverfly
Tropidia,fasciata,Tropidia fasciata,LC,Hoverfly
Tropidia,scita,Tropidia scita,LC,Hoverfly
Volucella,bombylans,Volucella bombylans,LC,Hoverfly
Volucella,elegans,Volucella elegans,LC,Hoverfly
Volucella,inanis,Volucella inanis,LC,Hoverfly
Volucella,inflata,Volucella inflata,LC,Hoverfly
Volucella,pellucens,Volucella pellucens,LC,Hoverfly
Volucella,zonaria,Volucella zonaria,LC,Hoverfly
Xanthandrus,azorensis,Xanthandrus azorensis,NT,Hoverfly
Xanthandrus,babyssa,Xanthandrus babyssa,EN,Hoverfly
Xanthandrus,comtus,Xanthandrus comtus,LC,Hoverfly
Xanthogramma,aeginae,Xanthogramma aeginae,EN,Hoverfly
Xanthogramma,citrofasciatum,Xanthogramma citrofasciatum,LC,Hoverfly
Xanthogramma,dives,Xanthogramma dives,LC,Hoverfly
Xanthogramma,laetum,Xanthogramma laetum,LC,Hoverfly
Xanthogramma,marginale,Xanthogramma marginale,LC,Hoverfly
Xanthogramma,pedissequum,Xanthogramma pedissequum,LC,Hoverfly
Xanthogramma,pilosum,Xanthogramma pilosum,EN,Hoverfly
Xanthogramma,stackelbergi,Xanthogramma stackelbergi,LC,Hoverfly
Xylota,abiens,Xylota abiens,LC,Hoverfly
Xylota,caeruleiventris,Xylota caeruleiventris,LC,Hoverfly
Xylota,florum,Xylota florum,LC,Hoverfly
Xylota,ignava,Xylota ignava,LC,Hoverfly
Xylota,jakutorum,Xylota jakutorum,LC,Hoverfly
Xylota,meigeniana,Xylota meigeniana,LC,Hoverfly
Xylota,segnis,Xylota segnis,LC,Hoverfly
Xylota,suecica,Xylota suecica,VU,Hoverfly
Xylota,sylvarum,Xylota sylvarum,LC,Hoverfly
Xylota,tarda,Xylota tarda,LC,Hoverfly
Xylota,triangularis,Xylota triangularis,LC,Hoverfly
Xylota,xanthocnema,Xylota xanthocnema,LC,Hoverfly
Bombus,alpinus,Bombus alpinus,VU,Bees
Colletes,creticus,Colletes creticus,LC,Bees
Colletes,cyprius,Colletes cyprius,LC,Bees
Colletes,dimidiatus,Colletes dimidiatus,LC,Bees
Colletes,dinizi,Colletes dinizi,LC,Bees
Colletes,halophilus,Colletes halophilus,NT,Bees
Colletes,hederae,Colletes hederae,LC,Bees
Colletes,merceti,Colletes merceti,CR,Bees
Colletes,moricei,Colletes moricei,VU,Bees
Colletes,pulchellus,Colletes pulchellus,VU,Bees
Colletes,schmidi,Colletes schmidi,NT,Bees
Colletes,sierrensis,Colletes sierrensis,EN,Bees
Colletes,tardus,Colletes tardus,DD,Bees
Colletes,tuberculiger,Colletes tuberculiger,LC,Bees
Colletes,wolfi,Colletes wolfi,EN,Bees
Camptopoeum,nasutum,Camptopoeum nasutum,NT,Bees
Flavipanurgus,flavus,Flavipanurgus flavus,LC,Bees
Halopanurgus,fuzetus,Halopanurgus fuzetus,VU,Bees
Flavipanurgus,granadensis,Flavipanurgus granadensis,LC,Bees
Flavipanurgus,merceti,Flavipanurgus merceti,CR,Bees
Flavipanurgus,venustus,Flavipanurgus venustus,LC,Bees
Melitturga,syriaca,Melitturga syriaca,DD,Bees
Panurginus,alpinus,Panurginus alpinus,DD,Bees
Panurginus,annulatus,Panurginus annulatus,LC,Bees
Panurginus,brullei,Panurginus brullei,DD,Bees
Panurginus,montanus,Panurginus montanus,DD,Bees
Panurginus,schwarzi,Panurginus schwarzi,DD,Bees
Panurginus,sericatus,Panurginus sericatus,DD,Bees
Panurgus,canescens,Panurgus canescens,LC,Bees
Panurgus,corsicus,Panurgus corsicus,LC,Bees
Panurgus,dentipes,Panurgus dentipes,LC,Bees
Panurgus,meridionalis,Panurgus meridionalis,LC,Bees
Panurgus,siculus,Panurgus siculus,DD,Bees
Simpanurgus,phyllopodus,Simpanurgus phyllopodus,CR,Bees
Ceratina,cypriaca,Ceratina cypriaca,LC,Bees
Ceratina,gravidula,Ceratina gravidula,LC,Bees
Ceratina,teunisseni,Ceratina teunisseni,LC,Bees
Dasypoda,iberica,Dasypoda iberica,LC,Bees
Dasypoda,morotei,Dasypoda morotei,LC,Bees
Melitta,hispanica,Melitta hispanica,VU,Bees
Melitta,iberica,Melitta iberica,VU,Bees
Melitta,kastiliensis,Melitta kastiliensis,VU,Bees
Melitta,murciana,Melitta murciana,LC,Bees
Melitta,seitzi,Melitta seitzi,DD,Bees
Melitta,tomentosa,Melitta tomentosa,DD,Bees
Melitta,udmurtica,Melitta udmurtica,DD,Bees
Halictus,carinthiacus,Halictus carinthiacus,EN,Bees
Halictus,centaureae,Halictus centaureae,NT,Bees
Seladonia,concinna,Seladonia concinna,LC,Bees
Halictus,crenicornis,Halictus crenicornis,LC,Bees
Halictus,frontalis,Halictus frontalis,LC,Bees
Halictus,fumatipennis,Halictus fumatipennis,DD,Bees
Halictus,gruenwaldti,Halictus gruenwaldti,LC,Bees
Halictus,holomelaenus,Halictus holomelaenus,LC,Bees
Seladonia,inpilosa,Seladonia inpilosa,DD,Bees
Halictus,jaramielicus,Halictus jaramielicus,DD,Bees
Halictus,langobardicus,Halictus langobardicus,LC,Bees
Halictus,lussinicus,Halictus lussinicus,DD,Bees
Halictus,mediterranellus,Halictus mediterranellus,VU,Bees
Seladonia,microcardia,Seladonia microcardia,EN,Bees
Halictus,nicosiae,Halictus nicosiae,LC,Bees
Halictus,ponticus,Halictus ponticus,DD,Bees
Halictus,pseudotetrazonius,Halictus pseudotetrazonius,DD,Bees
Halictus,pyrenaeus,Halictus pyrenaeus,NT,Bees
Halictus,rossicus,Halictus rossicus,DD,Bees
Halictus,tridivisus,Halictus tridivisus,DD,Bees
Bombus,inexspectatus,Bombus inexspectatus,VU,Bees
Bombus,magnus,Bombus magnus,LC,Bees
Bombus,mendax,Bombus mendax,NT,Bees
Bombus,mucidus,Bombus mucidus,NT,Bees
Halictus,quadripartitus,Halictus quadripartitus,DD,Bees
Colletes,pannonicus,Colletes pannonicus,LC,Bees
Melitta,budashkini,Melitta budashkini,DD,Bees
Bombus,pyrenaeus,Bombus pyrenaeus,LC,Bees
Dufourea,alpina,Dufourea alpina,LC,Bees
Protosmia,asensioi,Protosmia asensioi,LC,Bees
Epeolus,alpinus,Epeolus alpinus,NT,Bees
Habropoda,ezonata,Habropoda ezonata,DD,Bees
Anthophora,purpuraria,Anthophora purpuraria,VU,Bees
Andrena,stepposa,Andrena stepposa,EN,Bees
Lasioglossum,ibericum,Lasioglossum ibericum,LC,Bees
Osmia,alticola,Osmia alticola,NT,Bees
Hylaeus,nivalis,Hylaeus nivalis,LC,Bees
Hoplitis,parnesica,Hoplitis parnesica,DD,Bees
Osmia,picena,Osmia picena,LC,Bees
Lasioglossum,bavaricum,Lasioglossum bavaricum,LC,Bees
Andrena,nuptialis,Andrena nuptialis,LC,Bees
Anthophora,laevigata,Anthophora laevigata,DD,Bees
Anthophora,uniciliata,Anthophora uniciliata,DD,Bees
Andrena,lonicera,Andrena lonicera,CR,Bees
Hylaeus,canariensis,Hylaeus canariensis,LC,Bees
Nomada,barcelonensis,Nomada barcelonensis,NT,Bees
Andrena,tricuspidata,Andrena tricuspidata,LC,Bees
Lasioglossum,castilianum,Lasioglossum castilianum,DD,Bees
Osmia,svenssoni,Osmia svenssoni,EN,Bees
Sphecodes,atlanticus,Sphecodes atlanticus,VU,Bees
Nomada,hispanica,Nomada hispanica,LC,Bees
Andrena,olympica,Andrena olympica,LC,Bees
Andrena,leucolippa,Andrena leucolippa,LC,Bees
Andrena,strohmella,Andrena strohmella,LC,Bees
Epeolus,compar,Epeolus compar,LC,Bees
Lasioglossum,akroundicum,Lasioglossum akroundicum,LC,Bees
Hylaeus,convergens,Hylaeus convergens,LC,Bees
Andrena,standfussorum,Andrena standfussorum,DD,Bees
Ammobates,dusmeti,Ammobates dusmeti,CR,Bees
Tetralonia,hohmanni,Tetralonia hohmanni,LC,Bees
Andrena,funerea,Andrena funerea,LC,Bees
Lasioglossum,wollastoni,Lasioglossum wollastoni,LC,Bees
Hoplitis,fabrei,Hoplitis fabrei,LC,Bees
Andrena,chalcogastra,Andrena chalcogastra,DD,Bees
Nomada,rufoabdominalis,Nomada rufoabdominalis,EN,Bees
Stelis,franconica,Stelis franconica,LC,Bees
Lasioglossum,loetum,Lasioglossum loetum,LC,Bees
Dioxys,lanzarotensis,Dioxys lanzarotensis,DD,Bees
Nomada,gransassoi,Nomada gransassoi,LC,Bees
Andrena,fulva,Andrena fulva,LC,Bees
Andrena,hillana,Andrena hillana,DD,Bees
Lasioglossum,kotschyi,Lasioglossum kotschyi,DD,Bees
Lasioglossum,alpigenum,Lasioglossum alpigenum,LC,Bees
Dufourea,fortunata,Dufourea fortunata,DD,Bees
Thyreus,hellenicus,Thyreus hellenicus,DD,Bees
Nomada,nesiotica,Nomada nesiotica,DD,Bees
Lasioglossum,chalcodes,Lasioglossum chalcodes,VU,Bees
Andrena,grossella,Andrena grossella,LC,Bees
Nomada,sicula,Nomada sicula,EN,Bees
Ammobatoides,okalii,Ammobatoides okalii,DD,Bees
Andrena,kornosica,Andrena kornosica,LC,Bees
Nomada,kornosica,Nomada kornosica,EN,Bees
Andrena,stabiana,Andrena stabiana,LC,Bees
Nomada,orbitalis,Nomada orbitalis,LC,Bees
Andrena,afrensis,Andrena afrensis,LC,Bees
Megachile,rufescens,Megachile rufescens,DD,Bees
Hoplitis,lepeletieri,Hoplitis lepeletieri,LC,Bees
Nomada,verna,Nomada verna,NT,Bees
Dufourea,styx,Dufourea styx,LC,Bees
Osmia,palmae,Osmia palmae,DD,Bees
Osmia,larochei,Osmia larochei,NT,Bees
Anthophora,alluaudi,Anthophora alluaudi,LC,Bees
Chelostoma,laticaudum,Chelostoma laticaudum,LC,Bees
Melecta,caroli,Melecta caroli,LC,Bees
Dufourea,paradoxa,Dufourea paradoxa,LC,Bees
Pseudoanthidium,canariense,Pseudoanthidium canariense,LC,Bees
Nomada,discedens,Nomada discedens,LC,Bees
Lasioglossum,aureimontanum,Lasioglossum aureimontanum,DD,Bees
Eucera,quilisi,Eucera quilisi,VU,Bees
Lasioglossum,pleurospeculum,Lasioglossum pleurospeculum,NT,Bees
Lasioglossum,minutulum,Lasioglossum minutulum,NT,Bees
Andrena,farinosa,Andrena farinosa,LC,Bees
Andrena,damara,Andrena damara,DD,Bees
Lasioglossum,dusmeti,Lasioglossum dusmeti,LC,Bees
Andrena,muscaria,Andrena muscaria,LC,Bees
Hoplitis,villosa,Hoplitis villosa,LC,Bees
Hylaeus,nivaliformis,Hylaeus nivaliformis,LC,Bees
Hoplitis,loti,Hoplitis loti,LC,Bees
Megachile,canescens,Megachile canescens,LC,Bees
Stelis,ortizi,Stelis ortizi,LC,Bees
Lasioglossum,viride,Lasioglossum viride,LC,Bees
Hoplitis,ravouxi,Hoplitis ravouxi,LC,Bees
Andrena,pastellensis,Andrena pastellensis,DD,Bees
Osmia,madeirensis,Osmia madeirensis,LC,Bees
Epeolus,sigillatus,Epeolus sigillatus,VU,Bees
Rophites,thracius,Rophites thracius,DD,Bees
Chelostoma,grande,Chelostoma grande,NT,Bees
Andrena,trikalensis,Andrena trikalensis,DD,Bees
Andrena,grozdanici,Andrena grozdanici,DD,Bees
Hylaeus,alpinus,Hylaeus alpinus,LC,Bees
Nomada,lamellata,Nomada lamellata,DD,Bees
Hoplitis,holmboei,Hoplitis holmboei,VU,Bees
Thyreus,hohmanni,Thyreus hohmanni,LC,Bees
Hoplitis,zandeni,Hoplitis zandeni,LC,Bees
Melecta,canariensis,Melecta canariensis,DD,Bees
Chelostoma,transversum,Chelostoma transversum,LC,Bees
Andrena,elata,Andrena elata,LC,Bees
Osmia,dusmeti,Osmia dusmeti,DD,Bees
Anthophora,orotavae,Anthophora orotavae,LC,Bees
Andrena,pelopa,Andrena pelopa,DD,Bees
Nomada,polemediana,Nomada polemediana,DD,Bees
Anthophora,pulverosa,Anthophora pulverosa,LC,Bees
Hylaeus,maderensis,Hylaeus maderensis,DD,Bees
Hylaeus,ater,Hylaeus ater,LC,Bees
Nomada,armata,Nomada armata,LC,Bees
Andrena,suerinensis,Andrena suerinensis,LC,Bees
Andrena,fria,Andrena fria,LC,Bees
Megachile,canariensis,Megachile canariensis,LC,Bees
Dufourea,trautmanni,Dufourea trautmanni,LC,Bees
Epeolus,productulus,Epeolus productulus,VU,Bees
Lasioglossum,corsicanum,Lasioglossum corsicanum,LC,Bees
Andrena,nitidula,Andrena nitidula,LC,Bees
Melecta,curvispina,Melecta curvispina,LC,Bees
Nomada,rubricoxa,Nomada rubricoxa,LC,Bees
Lasioglossum,lissonotum,Lasioglossum lissonotum,VU,Bees
Stelis,hispanica,Stelis hispanica,VU,Bees
Nomada,alpigena,Nomada alpigena,EN,Bees
Megachile,hohmanni,Megachile hohmanni,EN,Bees
Andrena,illyrica,Andrena illyrica,DD,Bees
Dioxys,atlanticus,Dioxys atlanticus,DD,Bees
Hylaeus,hyperpunctatus,Hylaeus hyperpunctatus,LC,Bees
Andrena,montana,Andrena montana,DD,Bees
Lasioglossum,tauricum,Lasioglossum tauricum,DD,Bees
Nomada,concolor,Nomada concolor,NT,Bees
Melecta,gracilipes,Melecta gracilipes,DD,Bees
Hylaeus,crassanus,Hylaeus crassanus,NT,Bees
Hylaeus,friesei,Hylaeus friesei,NT,Bees
Lasioglossum,eurasicum,Lasioglossum eurasicum,LC,Bees
Hylaeus,ibericus,Hylaeus ibericus,EN,Bees
Andrena,concinna,Andrena concinna,LC,Bees
Lasioglossum,ariadne,Lasioglossum ariadne,CR,Bees
Nomada,illustris,Nomada illustris,NT,Bees
Hylaeus,pyrenaicus,Hylaeus pyrenaicus,NT,Bees
Hoplitis,ochraceicornis,Hoplitis ochraceicornis,LC,Bees
Osmia,steinmanni,Osmia steinmanni,NT,Bees
Andrena,semilaevis,Andrena semilaevis,LC,Bees
Andrena,barbareae,Andrena barbareae,DD,Bees
Hylaeus,teruelus,Hylaeus teruelus,DD,Bees
Andrena,labiatula,Andrena labiatula,CR,Bees
Hylaeus,deceptorius,Hylaeus deceptorius,LC,Bees
Epeolus,siculus,Epeolus siculus,DD,Bees
Anthophora,lieftincki,Anthophora lieftincki,LC,Bees
Hylaeus,hohmanni,Hylaeus hohmanni,LC,Bees
Andrena,pellucens,Andrena pellucens,LC,Bees
Andrena,bayona,Andrena bayona,LC,Bees
Andrena,solenopalpa,Andrena solenopalpa,LC,Bees
Andrena,taxana,Andrena taxana,VU,Bees
Anthophora,pruinosa,Anthophora pruinosa,LC,Bees
Lasioglossum,leucomontanum,Lasioglossum leucomontanum,EN,Bees
Andrena,sagittaria,Andrena sagittaria,DD,Bees
Lasioglossum,breviventre,Lasioglossum breviventre,EN,Bees
Andrena,dinizi,Andrena dinizi,LC,Bees
Nomada,bolivari,Nomada bolivari,DD,Bees
Anthophora,punctilabris,Anthophora punctilabris,LC,Bees
Dufourea,lusitanica,Dufourea lusitanica,LC,Bees
Nomada,hirtipes,Nomada hirtipes,LC,Bees
Nomada,baccata,Nomada baccata,VU,Bees
Anthophora,sichelii,Anthophora sichelii,LC,Bees
Andrena,neovirida,Andrena neovirida,DD,Bees
Andrena,korleviciana,Andrena korleviciana,LC,Bees
Andrena,vacella,Andrena vacella,LC,Bees
Hylaeus,adriaticus,Hylaeus adriaticus,LC,Bees
Lasioglossum,setulosum,Lasioglossum setulosum,EN,Bees
Andrena,anthrisci,Andrena anthrisci,LC,Bees
Andrena,fimbriata,Andrena fimbriata,LC,Bees
Andrena,graecella,Andrena graecella,DD,Bees
Hylaeus,garrulus,Hylaeus garrulus,DD,Bees
Eucera,gracilipes,Eucera gracilipes,LC,Bees
Osmia,iberica,Osmia iberica,NT,Bees
Megachile,binominata,Megachile binominata,LC,Bees
Hoplitis,graeca,Hoplitis graeca,LC,Bees
Andrena,roseipes,Andrena roseipes,EN,Bees
Nomada,flava,Nomada flava,LC,Bees
Dufourea,merceti,Dufourea merceti,DD,Bees
Lasioglossum,orihuelicum,Lasioglossum orihuelicum,NT,Bees
Osmia,balearica,Osmia balearica,LC,Bees
Anthophora,lanzarotensis,Anthophora lanzarotensis,NT,Bees
Andrena,sibthorpi,Andrena sibthorpi,DD,Bees
Hoplitis,albatera,Hoplitis albatera,DD,Bees
Lasioglossum,danuvium,Lasioglossum danuvium,DD,Bees
