species
Megachile burdigalensis
Melitta udmurtica
Melitturga praestans
Nomada bluethgeni
Nomada cruenta
Nomada furvoides
Nomada minuscula
Nomada nigrovaria
Nomada rostrata
Nomada rufoabdominalis
Nomiapis femoralis
Nomioides minutissimus
Osmia croatica
Osmia versicolor
Protosmia tiflensis
Seladonia semitecta
Tetralonia nana
Triepeolus tristis
Amegilla velocissima
Andrena abrupta
Andrena aerinifrons
Andrena agnata
Andrena alfkenelloides
Andrena alluaudi
Andrena avara
Andrena baetica
Andrena benoisti
Andrena binominata
Andrena bisulcata
Andrena blanda
Andrena caneae
Andrena cervina
Andrena concinna
Andrena djelfensis
Andrena flavilabris
Andrena fulvitarsis
Andrena funerea
Andrena gredana
Andrena hedikae
Andrena langadensis
Andrena lateralis
Andrena lavandulae
Andrena leucophaea
Andrena levante
Andrena limbata
Andrena miegiella
Andrena nigropilosa
Andrena nigroviridula
Andrena nilotica
Andrena omnilaevis
Andrena orana
Andrena oviventris
Andrena panurgina
Andrena poupillieri
Andrena pruinosa
Andrena relata
Andrena rhyssonota
Andrena rugothorace
Andrena sardoa
Andrena schmiedeknechti
Andrena schulzi
Andrena ungeri
Andrena varuga
Andrena vulcana
Anthidiellum breviusculum
Anthidiellum troodicum
Anthidium spiniventre
Anthophora ferruginea
Anthophora hispanica
Anthophora leucophaea
Anthophora pruinosa
Anthophora punctilabris
Anthophora quadricolor
Camptopoeum friesei
Chelostoma comosum
Chelostoma edentulum
Chelostoma laticaudum
Chelostoma nasutum
Chelostoma transversum
Coelioxys acanthurus
Coelioxys argenteus
Colletes abeillei
Colletes acutus
Colletes dinizi
Dasypoda albimana
Dufourea graeca
Dufourea iris
Dufourea styx
Dufourea trautmanni
Eucera aequata
Eucera albofasciata
Eucera confinis
Eucera digitata
Eucera ebmeri
Eucera fasciata
Eucera gaullei
Eucera helvola
Eucera hispana
Eucera mediterranea
Eucera obliterata
Eucera pannonica
Eucera pseudeucnemidea
Eucera puncticollis
Flavipanurgus kastiliensis
Habropoda zonatula
Halictus fumatipennis
Halictus pentheri
Halictus tetrazonianellus
Hofferia schmiedeknechti
Hoplitis albiscopa
Hoplitis bihamata
Hoplitis bispinosa
Hoplitis brachypogon
Hoplitis curvipes
Hoplitis fasciculata
Hoplitis fertoni
Hoplitis graeca
Hoplitis limassolica
Hoplitis lithodorae
Hoplitis marchali
