"","endYear",".estimate","std_error","conf.low","conf.high","region_100","min_year","max_year",".smooth",".derivative",".lower_ci",".upper_ci","sig"
"1",1921,35.3490119566404,6.51086108449503,22.5325758305495,48.1654480827314,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.223931815806165,-0.152502613179511,0.600366244791841,"Stable"
"2",1924,36.0204391377651,6.08370420791891,24.0448486008229,47.9960296747072,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.223563838995452,-0.152614772478139,0.599742450469042,"Stable"
"3",1925,36.2438557189606,5.94177790719299,24.5476428778808,47.9400685600404,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.223245133075737,-0.152711920216957,0.599202186368431,"Stable"
"4",1933,37.9995990329143,4.8228014273585,28.506058064922,47.4931400009067,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.213482991873301,-0.155690454313337,0.58265643805994,"Stable"
"5",1934,38.2120186873886,4.68601476071126,28.9877381986531,47.4362991761242,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.211317569023127,-0.156351911856602,0.578987049902856,"Stable"
"6",1934,49.8672996407723,6.47042555526791,37.1304596496378,62.6041396319068,"boreal",1934,2020,"s(endYear):region_100boreal",0.136284295602576,-0.093906867813093,0.366475459018245,"Stable"
"7",1935,38.4221516649626,4.55016101768602,29.4652952231199,47.3790081068052,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.208905634804294,-0.157089004978218,0.574900274586806,"Stable"
"8",1935,50.0035838106562,6.38271372763632,37.4394019398155,62.567765681497,"boreal",1934,2020,"s(endYear):region_100boreal",0.136284259191402,-0.0939047643721181,0.366473282754922,"Stable"
"9",1936,38.6297399267338,4.41532822512182,29.9382978212094,47.3211820322582,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.206224547288099,-0.157908772546024,0.570357867122221,"Stable"
"10",1936,50.1398679421245,6.29504872993255,37.7482520082594,62.5314838759896,"boreal",1934,2020,"s(endYear):region_100boreal",0.136284218717021,-0.0939024389174105,0.366470876351452,"Stable"
"11",1937,38.8345042667671,4.28161094212365,30.4062806502044,47.2627278833298,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.203254725529945,-0.158817370098364,0.565326821158254,"Stable"
"12",1937,50.2761520309621,6.20743254241923,38.0570059526665,62.4952981092576,"boreal",1934,2020,"s(endYear):region_100boreal",0.13628418742575,-0.0938998879673265,0.366468262818827,"Stable"
"13",1938,39.036147172474,4.14910956675755,30.8687485669138,47.2035457780343,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.199979169423994,-0.159820109660528,0.559778448508516,"Stable"
"14",1938,50.4124360726777,6.11986725446837,38.365659655679,62.4592124896765,"boreal",1934,2020,"s(endYear):region_100boreal",0.136284124435204,-0.0938970738681753,0.366465322738583,"Stable"
"15",1940,39.4288048971941,3.88818106183262,31.775036282114,47.0825735122742,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.192461168238569,-0.162124281904914,0.547046618382052,"Stable"
"16",1940,50.6850039956647,5.94489832326097,38.9826487084932,62.3873592828362,"boreal",1934,2020,"s(endYear):region_100boreal",0.13628401094154,-0.0938907119351054,0.366458733818186,"Stable"
"17",1941,39.6191673065059,3.75997584048321,32.2177668512025,47.0205677618092,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.188208105355503,-0.1634294758685,0.539845686579506,"Stable"
"18",1941,50.8212878670871,5.85749947049976,39.2909746184986,62.3516011156755,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283946736218,-0.0938871595019596,0.366455052974396,"Stable"
"19",1942,39.8051080937692,3.63342932232395,32.6528106904154,46.9574054971229,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.183616881041298,-0.164839856275992,0.532073618358588,"Stable"
"20",1942,50.9575716717595,5.770161116451,39.5991813718406,62.3159619716784,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283877425925,-0.093883362431922,0.366451117283772,"Stable"
"21",1943,39.9862862692192,3.50865988925158,33.07959377875,46.8929787596885,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.178682131701566,-0.16635744218529,0.523721705588423,"Stable"
"22",1943,51.0938554045343,5.68288601675404,39.9072635389774,62.2804472700913,"boreal",1934,2020,"s(endYear):region_100boreal",0.13628380292969,-0.0938793250392585,0.366446930898639,"Stable"
"23",1944,40.1623564806735,3.38578854962661,33.4975325626702,46.8271803986769,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.173400531836462,-0.167983679021766,0.51478474269469,"Stable"
"24",1944,51.2301390601981,5.59567709101187,40.2152153675439,62.2450627528522,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283723197311,-0.0938750541270826,0.366442500521705,"Stable"
"25",1945,40.3329708585038,3.26493850590409,33.9060366521844,46.7599050648231,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.167770355841442,-0.169719576666589,0.505260288349473,"Stable"
"26",1945,51.3664226334991,5.5085374353491,40.5230307576597,62.2098145093386,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283638202739,-0.0938705585675825,0.36643783497306,"Stable"
"27",1946,24.3396404013627,13.5933861629118,-2.41853539647953,51.0978161992049,"alpine",1946,2020,"s(endYear):region_100alpine",1.72677349649956,0.210956630491825,3.2425903625073,"Increasing"
"28",1946,40.497780739723,3.14623473968776,34.3045113617412,46.6910501177048,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.161791665512406,-0.171565655348612,0.495148986373424,"Stable"
"29",1946,51.502706119174,5.42147033621937,40.830703234775,62.1747090035731,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283547946904,-0.0938658493812892,0.366432945275098,"Stable"
"30",1947,26.0544278285851,13.030244114788,0.404780379916545,51.7040752772536,"alpine",1946,2020,"s(endYear):region_100alpine",1.70258373020261,0.206766968251825,3.19840049215339,"Increasing"
"31",1947,40.6564382769601,3.02980360643576,34.6923601170134,46.6205164369069,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.155466040740392,-0.17352203251633,0.484454113997114,"Stable"
"32",1947,51.6389895119716,5.33447928559092,41.1382259198032,62.13975310414,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283452453659,-0.0938609394356613,0.36642784434298,"Stable"
"33",1948,27.7443667842137,12.4763729411444,3.18499824442717,52.3037353240001,"alpine",1946,2020,"s(endYear):region_100alpine",1.67707894210714,0.202340969430868,3.15181691478341,"Increasing"
"34",1948,40.808597937966,2.9157724304073,35.0689867517399,46.5482091241922,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.148796537719936,-0.175588440117516,0.473181515557387,"Stable"
"35",1948,51.7752728066755,5.24756799765448,41.4455914962542,62.1049541170968,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283351769141,-0.0938558433188154,0.366422546857097,"Stable"
"36",1950,31.0444858344723,11.3985131138622,8.60685226183771,53.4821194071069,"alpine",1946,2020,"s(endYear):region_100alpine",1.6221836087315,0.192782986777979,3.05158423068501,"Increasing"
"37",1950,41.0920603149075,2.69542178177357,35.7862028176185,46.3979178121965,"atlantic",1921,2020,"s(endYear):region_100atlantic",0.134441406033002,-0.180049651346737,0.448932463412742,"Stable"
"38",1950,52.0478390812217,5.07400079003624,42.0598196494911,62.0358585129522,"boreal",1934,2020,"s(endYear):region_100boreal",0.136283135060411,-0.0938451558788848,0.366411425999707,"Stable"
"39",1951,32.6520898580212,10.8755742835242,11.243845797757,54.0603339182854,"alpine",1946,2020,"s(endYear):region_100alpine",1.59281683029057,0.187650954178619,2.99798270640253,"Increasing"
