"","sample","Estimator","region_year","region_100","endYear","record_count"
"1","Ralpine_Y1966",67.0543081861622,"Ralpine_Y1966","alpine",1966,269
"2","Ralpine_Y1968",74.9154993170887,"Ralpine_Y1968","alpine",1968,230
"3","Ralpine_Y1970",73.0066682978547,"Ralpine_Y1970","alpine",1970,270
"4","Ralpine_Y1979",68.635273658312,"Ralpine_Y1979","alpine",1979,362
"5","Ralpine_Y1981",79.5934106046127,"Ralpine_Y1981","alpine",1981,714
"6","Ralpine_Y1982",94.9220387266515,"Ralpine_Y1982","alpine",1982,506
"7","Ralpine_Y1983",97.7312495937256,"Ralpine_Y1983","alpine",1983,838
"8","Ralpine_Y1984",85.3492441216524,"Ralpine_Y1984","alpine",1984,517
"9","Ralpine_Y1985",102.198014912479,"Ralpine_Y1985","alpine",1985,632
"10","Ralpine_Y1986",89.916910993771,"Ralpine_Y1986","alpine",1986,548
"11","Ralpine_Y1988",98.0339461411068,"Ralpine_Y1988","alpine",1988,653
"12","Ralpine_Y1989",96.3463709017341,"Ralpine_Y1989","alpine",1989,751
"13","Ralpine_Y1990",92.0187309780403,"Ralpine_Y1990","alpine",1990,425
"14","Ralpine_Y1991",102.207454626168,"Ralpine_Y1991","alpine",1991,420
"15","Ralpine_Y1992",87.4259702964039,"Ralpine_Y1992","alpine",1992,251
"16","Ralpine_Y1993",103.876511667467,"Ralpine_Y1993","alpine",1993,411
"17","Ralpine_Y1994",111.131399687081,"Ralpine_Y1994","alpine",1994,751
"18","Ralpine_Y1995",117.948923228421,"Ralpine_Y1995","alpine",1995,478
"19","Ralpine_Y1996",120.298713191727,"Ralpine_Y1996","alpine",1996,355
"20","Ralpine_Y1997",117.622031422112,"Ralpine_Y1997","alpine",1997,788
"21","Ralpine_Y1998",112.626233512602,"Ralpine_Y1998","alpine",1998,779
"22","Ralpine_Y1999",103.892510035967,"Ralpine_Y1999","alpine",1999,250
"23","Ralpine_Y2000",113.267769050026,"Ralpine_Y2000","alpine",2000,528
"24","Ralpine_Y2001",113.706783383798,"Ralpine_Y2001","alpine",2001,648
"25","Ralpine_Y2004",105.331039361391,"Ralpine_Y2004","alpine",2004,300
"26","Ralpine_Y2005",90.3946094031403,"Ralpine_Y2005","alpine",2005,427
"27","Ralpine_Y2006",47.3145554762988,"Ralpine_Y2006","alpine",2006,300
"28","Ralpine_Y2007",76.7048736487881,"Ralpine_Y2007","alpine",2007,516
"29","Ralpine_Y2008",109.99059091454,"Ralpine_Y2008","alpine",2008,1100
"30","Ralpine_Y2009",108.005942271207,"Ralpine_Y2009","alpine",2009,923
"31","Ralpine_Y2010",110.291761912432,"Ralpine_Y2010","alpine",2010,1028
"32","Ralpine_Y2011",105.236227991327,"Ralpine_Y2011","alpine",2011,982
"33","Ralpine_Y2012",102.425750576531,"Ralpine_Y2012","alpine",2012,349
"34","Ralpine_Y2013",114.525771088674,"Ralpine_Y2013","alpine",2013,941
"35","Ralpine_Y2014",102.801153675536,"Ralpine_Y2014","alpine",2014,666
"36","Ralpine_Y2015",82.9244031526974,"Ralpine_Y2015","alpine",2015,623
"37","Ralpine_Y2016",97.5798043361677,"Ralpine_Y2016","alpine",2016,539
"38","Ralpine_Y2017",107.182091516169,"Ralpine_Y2017","alpine",2017,1055
"39","Ralpine_Y2018",77.7505317826882,"Ralpine_Y2018","alpine",2018,1555
"40","Ralpine_Y2019",90.2814152812859,"Ralpine_Y2019","alpine",2019,1799
"41","Ralpine_Y2020",59.4168183496309,"Ralpine_Y2020","alpine",2020,2352
"42","Ratlantic_Y1921",41.8372871948281,"Ratlantic_Y1921","atlantic",1921,257
"43","Ratlantic_Y1936",64.3981333645848,"Ratlantic_Y1936","atlantic",1936,217
"44","Ratlantic_Y1938",21.5796391430695,"Ratlantic_Y1938","atlantic",1938,730
"45","Ratlantic_Y1944",56.0053199679031,"Ratlantic_Y1944","atlantic",1944,206
"46","Ratlantic_Y1958",56.4943953821035,"Ratlantic_Y1958","atlantic",1958,227
"47","Ratlantic_Y1959",69.9031493534064,"Ratlantic_Y1959","atlantic",1959,243
"48","Ratlantic_Y1960",71.6527426463421,"Ratlantic_Y1960","atlantic",1960,277
"49","Ratlantic_Y1963",58.9334751010695,"Ratlantic_Y1963","atlantic",1963,694
"50","Ratlantic_Y1964",65.4608688571137,"Ratlantic_Y1964","atlantic",1964,550
"51","Ratlantic_Y1965",65.5287567273616,"Ratlantic_Y1965","atlantic",1965,875
"52","Ratlantic_Y1966",75.3418753381565,"Ratlantic_Y1966","atlantic",1966,670
"53","Ratlantic_Y1967",71.7136130931876,"Ratlantic_Y1967","atlantic",1967,913
"54","Ratlantic_Y1968",81.1560694756693,"Ratlantic_Y1968","atlantic",1968,582
"55","Ratlantic_Y1969",73.3195303395287,"Ratlantic_Y1969","atlantic",1969,381
"56","Ratlantic_Y1970",91.2901468601382,"Ratlantic_Y1970","atlantic",1970,551
"57","Ratlantic_Y1971",86.6955623729701,"Ratlantic_Y1971","atlantic",1971,502
"58","Ratlantic_Y1972",86.3027305414417,"Ratlantic_Y1972","atlantic",1972,799
"59","Ratlantic_Y1973",69.7995980056995,"Ratlantic_Y1973","atlantic",1973,533
"60","Ratlantic_Y1974",86.0445827392822,"Ratlantic_Y1974","atlantic",1974,559
"61","Ratlantic_Y1975",71.9651418716016,"Ratlantic_Y1975","atlantic",1975,1009
"62","Ratlantic_Y1976",80.5537136124871,"Ratlantic_Y1976","atlantic",1976,1007
"63","Ratlantic_Y1977",72.2409078626837,"Ratlantic_Y1977","atlantic",1977,859
"64","Ratlantic_Y1978",67.0773612139438,"Ratlantic_Y1978","atlantic",1978,1232
"65","Ratlantic_Y1979",51.5555646941055,"Ratlantic_Y1979","atlantic",1979,1901
"66","Ratlantic_Y1980",53.9465879622639,"Ratlantic_Y1980","atlantic",1980,2509
"67","Ratlantic_Y1981",69.5617979076454,"Ratlantic_Y1981","atlantic",1981,1799
"68","Ratlantic_Y1982",62.7101729128615,"Ratlantic_Y1982","atlantic",1982,2289
"69","Ratlantic_Y1983",67.2062667664702,"Ratlantic_Y1983","atlantic",1983,1421
"70","Ratlantic_Y1984",69.608976235911,"Ratlantic_Y1984","atlantic",1984,1985
"71","Ratlantic_Y1985",61.2385472778966,"Ratlantic_Y1985","atlantic",1985,2479
"72","Ratlantic_Y1986",57.3477068073745,"Ratlantic_Y1986","atlantic",1986,3588
