"","endYear",".estimate","std_error","conf.low","conf.high","region_100",".smooth",".derivative",".lower_ci",".upper_ci","sig"
"1",1921,107.149075056744,5.30228914055614,96.7304769222929,117.567673191196,"alpine","s(endYear):region_100alpine",-0.457723872951475,-0.879712438680818,-0.0357353072221321,"Decreasing"
"2",1921,110.964861777163,2.2980512123743,106.449364519387,115.480359034939,"atlantic","s(endYear):region_100atlantic",-0.368831208740233,-0.443986765470106,-0.29367565201036,"Decreasing"
"3",1921,82.660671220744,3.40012713797585,75.9796779143515,89.3416645271366,"boreal","s(endYear):region_100boreal",0.0230650754788233,-0.0853875416941186,0.131517692651765,"Stable"
"4",1921,127.542015837943,5.07597640222072,117.568105160347,137.51592651554,"continental","s(endYear):region_100continental",-0.827286143463772,-1.19252767943119,-0.462044607496354,"Decreasing"
"5",1921,80.2569013867766,8.87243302356838,62.8232398687062,97.690562904847,"mediterranean","s(endYear):region_100mediterranean",0.74746899538144,0.164994256696398,1.32994373406648,"Increasing"
"6",1922,106.691362945315,5.15594125508956,96.5603273647125,116.822398525918,"alpine","s(endYear):region_100alpine",-0.457689758864706,-0.87965536841295,-0.0357241493164611,"Decreasing"
"7",1922,110.596030857743,2.26992637258065,106.135796788306,115.056264927179,"atlantic","s(endYear):region_100atlantic",-0.368831208681959,-0.443986729552372,-0.293675687811545,"Decreasing"
"8",1922,82.6837362762382,3.359786014079,76.0820102348008,89.2854623176755,"boreal","s(endYear):region_100boreal",0.0230650698148982,-0.0853874654752199,0.131517605105016,"Stable"
"9",1922,126.714743125821,4.94489854790214,116.998390542902,136.43109570874,"continental","s(endYear):region_100continental",-0.827247900844431,-1.19247106586648,-0.462024735822381,"Decreasing"
"10",1922,81.0043642015682,8.66147136462445,63.9852264274978,98.0235019756386,"mediterranean","s(endYear):region_100mediterranean",0.747452258317499,0.165004914720706,1.32989960191429,"Increasing"
"11",1923,106.233729714776,5.01069099960771,96.3880999279116,116.07935950164,"alpine","s(endYear):region_100alpine",-0.457555617042688,-0.879430960460926,-0.0356802736244506,"Decreasing"
"12",1923,110.227199938457,2.24182844359177,105.82217617966,114.632223697255,"atlantic","s(endYear):region_100atlantic",-0.368831208452814,-0.443986588337028,-0.2936758285686,"Decreasing"
"13",1923,82.7068013186357,3.31948869727936,76.1842564645125,89.229346172759,"boreal","s(endYear):region_100boreal",0.0230650475434759,-0.0853871658134994,0.131517260900451,"Stable"
"14",1923,125.88755884086,4.81444153815485,116.427544439875,135.347573241845,"continental","s(endYear):region_100continental",-0.827097524999057,-1.19224845337751,-0.461946596620602,"Decreasing"
"15",1923,81.751788315793,8.45131419682761,65.1455935213128,98.3579831102733,"mediterranean","s(endYear):region_100mediterranean",0.747386445614743,0.165046822265366,1.32972606896412,"Increasing"
"16",1924,105.776305508948,4.8666601956764,96.2136853855256,115.33892563237,"alpine","s(endYear):region_100alpine",-0.457262119611153,-0.878939970113215,-0.035584269109092,"Decreasing"
"17",1924,109.858369019529,2.2137584680092,105.508500645035,114.208237394023,"atlantic","s(endYear):region_100atlantic",-0.368831207951454,-0.443986279466961,-0.293676136435948,"Decreasing"
"18",1924,82.7298663263292,3.27923683973802,76.2864133355072,89.1733193171512,"boreal","s(endYear):region_100boreal",0.0230649988144132,-0.0853865104018921,0.131516508030719,"Stable"
"19",1924,125.060608877061,4.68467778277548,115.85557046548,134.265647288643,"continental","s(endYear):region_100continental",-0.826768508114401,-1.19176138941283,-0.461775626815975,"Decreasing"
"20",1924,82.4991098782486,8.24205395044716,66.3040956804428,98.6941240760544,"mediterranean","s(endYear):region_100mediterranean",0.747242449812907,0.165138506427327,1.32934639319849,"Increasing"
"21",1925,105.319277593486,4.72399099311625,96.036991689537,114.601563497435,"alpine","s(endYear):region_100alpine",-0.456754400026744,-0.878090628411383,-0.0354181716421055,"Decreasing"
"22",1925,109.489538101278,2.18571754633044,105.194768022359,113.784308180197,"atlantic","s(endYear):region_100atlantic",-0.368831207084155,-0.443985745491333,-0.293676668676978,"Decreasing"
"23",1925,82.752931268227,3.23903218465825,76.3884773914303,89.1173851450236,"boreal","s(endYear):region_100boreal",0.0230649145182772,-0.0853853773782561,0.13151520641481,"Stable"
"24",1925,124.234103163222,4.55569383716152,115.282508473686,133.185697852757,"continental","s(endYear):region_100continental",-0.826199343624384,-1.19091883336514,-0.461479853883626,"Decreasing"
"25",1925,83.2462370126001,8.03380216079889,67.4604218700722,99.032052155128,"mediterranean","s(endYear):region_100mediterranean",0.746993352271294,0.165297084316245,1.32868962022634,"Increasing"
"26",1926,104.862885072343,4.58284499905891,95.8579403980761,113.867829746611,"alpine","s(endYear):region_100alpine",-0.455983506643484,-0.876801082931686,-0.0351659303552822,"Decreasing"
"27",1926,109.120707184112,2.15770683825846,104.88097603331,113.360438334913,"atlantic","s(endYear):region_100atlantic",-0.368831205767296,-0.443984935548784,-0.293677475985808,"Decreasing"
"28",1926,82.7759961046309,3.19887656673604,76.4904449875446,89.0615472217171,"boreal","s(endYear):region_100boreal",0.0230647865276785,-0.0853836589217834,0.13151323197714,"Stable"
"29",1926,123.408309739974,4.42758954903526,114.708430311886,132.108189168061,"continental","s(endYear):region_100continental",-0.825335155689124,-1.18963957487253,-0.46103073650572,"Decreasing"
"30",1926,83.9930524095919,7.82668801016447,68.6142009475079,99.371903871676,"mediterranean","s(endYear):region_100mediterranean",0.746615136318015,0.165537797003667,1.32769247563236,"Increasing"
