"","sample","Estimator","region_year","region_100","endYear","record_count"
"65","Ralpine_Y1985",73.4348617365811,"Ralpine_Y1985","alpine",1985,2110
"66","Ralpine_Y1986",91.9153895546609,"Ralpine_Y1986","alpine",1986,2829
"67","Ralpine_Y1987",103.554533489606,"Ralpine_Y1987","alpine",1987,1577
"68","Ralpine_Y1988",102.725898249922,"Ralpine_Y1988","alpine",1988,1708
"69","Ralpine_Y1989",106.918689776479,"Ralpine_Y1989","alpine",1989,3507
"70","Ralpine_Y1990",125.345489840197,"Ralpine_Y1990","alpine",1990,2036
"71","Ralpine_Y1991",126.677870222297,"Ralpine_Y1991","alpine",1991,4413
"72","Ralpine_Y1992",118.854934485585,"Ralpine_Y1992","alpine",1992,5134
"73","Ralpine_Y1993",124.404787908712,"Ralpine_Y1993","alpine",1993,5003
"74","Ralpine_Y1994",97.9084417928228,"Ralpine_Y1994","alpine",1994,5035
"75","Ralpine_Y1995",116.955969236623,"Ralpine_Y1995","alpine",1995,4023
"76","Ralpine_Y1996",122.888240776838,"Ralpine_Y1996","alpine",1996,3921
"77","Ralpine_Y1997",85.526660460701,"Ralpine_Y1997","alpine",1997,15612
"78","Ralpine_Y1998",116.50242943009,"Ralpine_Y1998","alpine",1998,5412
"79","Ralpine_Y1999",95.1435318014517,"Ralpine_Y1999","alpine",1999,5141
"80","Ralpine_Y2000",104.083861261099,"Ralpine_Y2000","alpine",2000,4643
"81","Ralpine_Y2001",89.8908976430757,"Ralpine_Y2001","alpine",2001,9238
"82","Ralpine_Y2002",94.8786216086152,"Ralpine_Y2002","alpine",2002,9530
"83","Ralpine_Y2003",78.5122284148261,"Ralpine_Y2003","alpine",2003,5581
"84","Ralpine_Y2004",111.031230267403,"Ralpine_Y2004","alpine",2004,4390
"85","Ralpine_Y2005",100.868334710324,"Ralpine_Y2005","alpine",2005,8114
"86","Ralpine_Y2006",93.8463526693798,"Ralpine_Y2006","alpine",2006,10838
"87","Ralpine_Y2007",103.781222194954,"Ralpine_Y2007","alpine",2007,3373
"88","Ralpine_Y2008",99.1672709605653,"Ralpine_Y2008","alpine",2008,7830
"89","Ralpine_Y2009",87.4013503424837,"Ralpine_Y2009","alpine",2009,4407
"90","Ralpine_Y2010",66.1107751551609,"Ralpine_Y2010","alpine",2010,4536
"91","Ralpine_Y2011",103.875364034999,"Ralpine_Y2011","alpine",2011,1678
"92","Ralpine_Y2012",101.284619117042,"Ralpine_Y2012","alpine",2012,5700
"93","Ralpine_Y2013",109.935666826695,"Ralpine_Y2013","alpine",2013,9862
"94","Ralpine_Y2014",104.40880122719,"Ralpine_Y2014","alpine",2014,10799
"95","Ralpine_Y2015",106.462517024518,"Ralpine_Y2015","alpine",2015,8000
"96","Ralpine_Y2016",110.973305696252,"Ralpine_Y2016","alpine",2016,10417
"97","Ralpine_Y2017",110.913169107199,"Ralpine_Y2017","alpine",2017,11980
"98","Ralpine_Y2018",119.894808549129,"Ralpine_Y2018","alpine",2018,12106
"99","Ralpine_Y2019",116.874800026769,"Ralpine_Y2019","alpine",2019,14845
"100","Ralpine_Y2020",98.7235754245156,"Ralpine_Y2020","alpine",2020,10604
"101","Ratlantic_Y1921",81.0049183703928,"Ratlantic_Y1921","atlantic",1921,1942
"102","Ratlantic_Y1922",91.5685025776533,"Ratlantic_Y1922","atlantic",1922,1702
"103","Ratlantic_Y1923",87.9510555709875,"Ratlantic_Y1923","atlantic",1923,2025
"104","Ratlantic_Y1924",92.4388717998486,"Ratlantic_Y1924","atlantic",1924,2488
"105","Ratlantic_Y1925",93.0721624005723,"Ratlantic_Y1925","atlantic",1925,2275
"106","Ratlantic_Y1926",100.597604495684,"Ratlantic_Y1926","atlantic",1926,2798
"107","Ratlantic_Y1927",105.630942799292,"Ratlantic_Y1927","atlantic",1927,2399
"108","Ratlantic_Y1928",108.294009126539,"Ratlantic_Y1928","atlantic",1928,2680
"109","Ratlantic_Y1929",114.250851302439,"Ratlantic_Y1929","atlantic",1929,2188
"110","Ratlantic_Y1930",94.3528363793804,"Ratlantic_Y1930","atlantic",1930,4416
"111","Ratlantic_Y1931",107.048208596553,"Ratlantic_Y1931","atlantic",1931,2345
