family,scientificName,Group,1921-1940,1941-1960,1961-1980,1981-2000,2001-2020,mediterranean,alpine,atlantic,continental,boreal
Andrenidae,Andrena chersona,bees,0,0,0,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena chrysopus,bees,0,7,0,8,23,NA,0.450686879158883,NA,0.0900240631016333,NA
Andrenidae,Andrena chrysopyga,bees,3,47,10,11,46,NA,NA,NA,NA,NA
Andrenidae,Andrena chrysosceles,bees,229,311,1266,4863,6636,NA,0.0199428210021589,0.0380020056143357,-0.00271067274732759,0.0213993456013934
Andrenidae,Andrena cilissaeformis,bees,0,0,0,9,29,-4.0244365375382e-4,NA,NA,NA,NA
Andrenidae,Andrena cineraria,bees,665,655,874,2633,13419,-8.17013947154141e-4,0.0133229021729166,0.0341488137171198,0.0525048861659641,0.0218594391081548
Andrenidae,Andrena cinerea,bees,5,11,56,173,368,-7.69254712476678e-4,0.0253819570296134,NA,NA,NA
Andrenidae,Andrena cinereophila,bees,0,0,1,5,113,0.0122431324059436,NA,NA,NA,NA
Andrenidae,Andrena clarkella,bees,576,507,1251,2926,9475,NA,0.00906592735038584,-0.0229245812886833,0.0132281121159258,0.0126550176036497
Andrenidae,Andrena clypella,bees,0,0,25,19,76,NA,NA,NA,NA,NA
Andrenidae,Andrena coitana,bees,553,604,769,809,818,NA,-0.00958552503241202,-0.0342479036673138,-0.0387399859230075,-0.0427700622530693
Andrenidae,Andrena colletiformis,bees,13,10,104,35,123,NA,NA,NA,NA,NA
Andrenidae,Andrena combaella,bees,1,0,10,1,39,-0.0221070164289617,-0.251387176077103,NA,NA,NA
Andrenidae,Andrena combinata,bees,151,83,142,262,700,NA,NA,NA,NA,NA
Andrenidae,Andrena compta,bees,1,0,0,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena comta,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena concinna,bees,0,0,0,6,15,NA,NA,NA,NA,NA
Andrenidae,Andrena confinis,bees,39,4,0,5,19,NA,NA,NA,NA,NA
Andrenidae,Andrena congruens,bees,53,32,86,68,463,0.0905927386043056,-0.0277124866882427,-0.0107994388879001,-0.0357436939586978,-0.0208031996541761
Andrenidae,Andrena contracta,bees,0,0,0,2,4,NA,NA,NA,NA,NA
Andrenidae,Andrena corax,bees,0,0,7,41,27,-0.063526903561662,NA,NA,NA,NA
Andrenidae,Andrena cordialis,bees,0,0,6,8,15,NA,NA,NA,NA,NA
Andrenidae,Andrena corssubalpina,bees,0,0,0,0,5,NA,NA,NA,NA,NA
Andrenidae,Andrena crassana,bees,0,0,6,3,53,NA,NA,NA,NA,NA
Andrenidae,Andrena crecca,bees,0,0,0,0,13,NA,NA,NA,NA,NA
Andrenidae,Andrena crepidis,bees,1,0,0,0,6,NA,NA,NA,NA,NA
Andrenidae,Andrena croatica,bees,0,1,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena croceiventris,bees,2,0,5,2,0,NA,NA,NA,NA,NA
Andrenidae,Andrena curiosa,bees,0,0,0,0,5,NA,NA,NA,NA,NA
Andrenidae,Andrena curtivalvis,bees,0,0,10,0,6,NA,NA,NA,NA,NA
Andrenidae,Andrena curvana,bees,0,1,11,17,20,NA,-0.0417012597778417,NA,0.558883581732155,NA
Andrenidae,Andrena curvungula,bees,100,153,64,178,563,-0.00672305324928782,0.0600436049561409,-0.101568066153655,-0.00270287713907012,-0.0317768598101672
Andrenidae,Andrena cussariensis,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena cyanomicans,bees,0,0,15,13,24,0.0344024099646184,NA,NA,NA,NA
Andrenidae,Andrena cypria,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena danuvia,bees,0,0,0,1,35,NA,NA,NA,NA,NA
Andrenidae,Andrena dargia,bees,0,0,0,0,19,NA,NA,NA,NA,NA
Andrenidae,Andrena decipiens,bees,50,20,35,105,77,NA,NA,NA,NA,NA
Andrenidae,Andrena delphiensis,bees,0,0,0,2,2,NA,NA,NA,NA,NA
Andrenidae,Andrena denticulata,bees,327,438,728,1497,5015,NA,-0.00255515169405707,0.00661740337826516,-0.00554835268977326,0.0115506201556653
Andrenidae,Andrena dinizi,bees,0,0,3,1,0,NA,NA,NA,NA,NA
Andrenidae,Andrena discors,bees,0,0,16,6,35,NA,NA,NA,NA,NA
Andrenidae,Andrena distinguenda,bees,37,47,53,65,35,-0.022927190999245,NA,NA,-0.0345041602944606,NA
Andrenidae,Andrena djelfensis,bees,0,0,7,25,60,0.278614366722667,NA,NA,NA,NA
Andrenidae,Andrena dorsalis,bees,0,0,2,1,7,NA,NA,NA,NA,NA
Andrenidae,Andrena dorsata,bees,234,443,769,5156,9629,NA,NA,NA,NA,NA
Andrenidae,Andrena doursana,bees,0,0,1,3,4,NA,NA,NA,NA,NA
Andrenidae,Andrena ebmerella,bees,0,0,0,2,0,NA,NA,NA,NA,NA
Andrenidae,Andrena elata,bees,0,0,0,51,0,NA,NA,NA,NA,NA
Andrenidae,Andrena elegans,bees,0,0,3,2,3,NA,NA,NA,NA,NA
Andrenidae,Andrena elmaria,bees,0,1,2,3,7,-0.0190350756349577,NA,NA,NA,NA
Andrenidae,Andrena enslinella,bees,0,1,0,11,5,NA,NA,NA,NA,NA
Andrenidae,Andrena erberi,bees,0,1,2,3,4,NA,NA,NA,NA,NA
Andrenidae,Andrena erodiorum,bees,0,0,0,0,1,NA,NA,NA,NA,NA
Andrenidae,Andrena eversmanniana,bees,0,1,0,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena exigua,bees,0,0,3,0,0,NA,NA,NA,NA,NA
Andrenidae,Andrena exquisita,bees,0,0,1,1,8,NA,NA,NA,NA,NA
Andrenidae,Andrena fabrella,bees,2,6,54,154,212,-0.00775652169143367,NA,NA,NA,NA
Andrenidae,Andrena falcinella,bees,0,0,0,0,7,NA,NA,NA,NA,NA
Andrenidae,Andrena fallax,bees,0,0,5,1,2,NA,NA,NA,NA,NA
Andrenidae,Andrena falsifica,bees,204,256,491,432,1510,NA,NA,NA,NA,NA
Andrenidae,Andrena farinosa,bees,0,0,1,21,36,NA,NA,NA,NA,NA
Andrenidae,Andrena ferox,bees,27,29,34,108,228,NA,0.0344847028589018,-0.0101662520864645,-0.0312085036035512,NA
Andrenidae,Andrena ferrugineicrus,bees,4,4,55,107,86,-0.0100819620569247,NA,NA,NA,NA
Andrenidae,Andrena fertoni,bees,0,0,0,9,17,NA,NA,NA,NA,NA
Andrenidae,Andrena figurata,bees,1,1,0,3,0,NA,NA,NA,NA,NA
Andrenidae,Andrena fimbriata,bees,0,0,0,3,7,NA,NA,NA,NA,NA
Andrenidae,Andrena flavilabris,bees,10,0,0,1,13,NA,NA,NA,NA,NA
