Genus,Specific,Species,taxo_group,European_Category
Xylota,tarda,Xylota tarda,hoverflies,LC
Xylota,triangularis,Xylota triangularis,hoverflies,LC
Xylota,xanthocnema,Xylota xanthocnema,hoverflies,LC
Bombus,alpinus,Bombus alpinus,bees,VU
Colletes,creticus,Colletes creticus,bees,LC
Colletes,cyprius,Colletes cyprius,bees,LC
Colletes,dimidiatus,Colletes dimidiatus,bees,LC
Colletes,dinizi,Colletes dinizi,bees,LC
Colletes,halophilus,Colletes halophilus,bees,NT
Colletes,hederae,Colletes hederae,bees,LC
Colletes,merceti,Colletes merceti,bees,CR
Colletes,moricei,Colletes moricei,bees,VU
Colletes,pulchellus,Colletes pulchellus,bees,VU
Colletes,schmidi,Colletes schmidi,bees,NT
Colletes,sierrensis,Colletes sierrensis,bees,EN
Colletes,tardus,Colletes tardus,bees,DD
Colletes,tuberculiger,Colletes tuberculiger,bees,LC
Colletes,wolfi,Colletes wolfi,bees,EN
Camptopoeum,nasutum,Camptopoeum nasutum,bees,NT
Flavipanurgus,flavus,Flavipanurgus flavus,bees,LC
Halopanurgus,fuzetus,Halopanurgus fuzetus,bees,VU
Flavipanurgus,granadensis,Flavipanurgus granadensis,bees,LC
Flavipanurgus,merceti,Flavipanurgus merceti,bees,CR
Flavipanurgus,venustus,Flavipanurgus venustus,bees,LC
Melitturga,syriaca,Melitturga syriaca,bees,DD
Panurginus,alpinus,Panurginus alpinus,bees,DD
Panurginus,annulatus,Panurginus annulatus,bees,LC
Panurginus,brullei,Panurginus brullei,bees,DD
Panurginus,montanus,Panurginus montanus,bees,DD
Panurginus,schwarzi,Panurginus schwarzi,bees,DD
Panurginus,sericatus,Panurginus sericatus,bees,DD
Panurgus,canescens,Panurgus canescens,bees,LC
Panurgus,corsicus,Panurgus corsicus,bees,LC
Panurgus,dentipes,Panurgus dentipes,bees,LC
Panurgus,meridionalis,Panurgus meridionalis,bees,LC
Panurgus,siculus,Panurgus siculus,bees,DD
Simpanurgus,phyllopodus,Simpanurgus phyllopodus,bees,CR
Ceratina,cypriaca,Ceratina cypriaca,bees,LC
Ceratina,gravidula,Ceratina gravidula,bees,LC
Ceratina,teunisseni,Ceratina teunisseni,bees,LC
Dasypoda,iberica,Dasypoda iberica,bees,LC
Dasypoda,morotei,Dasypoda morotei,bees,LC
Melitta,hispanica,Melitta hispanica,bees,VU
Melitta,iberica,Melitta iberica,bees,VU
Melitta,kastiliensis,Melitta kastiliensis,bees,VU
Melitta,murciana,Melitta murciana,bees,LC
Melitta,seitzi,Melitta seitzi,bees,DD
Melitta,tomentosa,Melitta tomentosa,bees,DD
Melitta,udmurtica,Melitta udmurtica,bees,DD
Halictus,carinthiacus,Halictus carinthiacus,bees,EN
Halictus,centaureae,Halictus centaureae,bees,NT
Seladonia,concinna,Seladonia concinna,bees,LC
Halictus,crenicornis,Halictus crenicornis,bees,LC
Halictus,frontalis,Halictus frontalis,bees,LC
Halictus,fumatipennis,Halictus fumatipennis,bees,DD
Halictus,gruenwaldti,Halictus gruenwaldti,bees,LC
Halictus,holomelaenus,Halictus holomelaenus,bees,LC
Seladonia,inpilosa,Seladonia inpilosa,bees,DD
Halictus,jaramielicus,Halictus jaramielicus,bees,DD
Halictus,langobardicus,Halictus langobardicus,bees,LC
Halictus,lussinicus,Halictus lussinicus,bees,DD
Halictus,mediterranellus,Halictus mediterranellus,bees,VU
Seladonia,microcardia,Seladonia microcardia,bees,EN
Halictus,nicosiae,Halictus nicosiae,bees,LC
Halictus,ponticus,Halictus ponticus,bees,DD
Halictus,pseudotetrazonius,Halictus pseudotetrazonius,bees,DD
Halictus,pyrenaeus,Halictus pyrenaeus,bees,NT
Halictus,rossicus,Halictus rossicus,bees,DD
Halictus,tridivisus,Halictus tridivisus,bees,DD
Bombus,inexspectatus,Bombus inexspectatus,bees,VU
Bombus,magnus,Bombus magnus,bees,LC
Bombus,mendax,Bombus mendax,bees,NT
Bombus,mucidus,Bombus mucidus,bees,NT
Halictus,quadripartitus,Halictus quadripartitus,bees,DD
Colletes,pannonicus,Colletes pannonicus,bees,LC
Melitta,budashkini,Melitta budashkini,bees,DD
Bombus,pyrenaeus,Bombus pyrenaeus,bees,LC
Dufourea,alpina,Dufourea alpina,bees,LC
Protosmia,asensioi,Protosmia asensioi,bees,LC
Epeolus,alpinus,Epeolus alpinus,bees,NT
Habropoda,ezonata,Habropoda ezonata,bees,DD
Anthophora,purpuraria,Anthophora purpuraria,bees,VU
Andrena,stepposa,Andrena stepposa,bees,EN
Lasioglossum,ibericum,Lasioglossum ibericum,bees,LC
Osmia,alticola,Osmia alticola,bees,NT
Hylaeus,nivalis,Hylaeus nivalis,bees,LC
Hoplitis,parnesica,Hoplitis parnesica,bees,DD
Osmia,picena,Osmia picena,bees,LC
Lasioglossum,bavaricum,Lasioglossum bavaricum,bees,LC
Andrena,nuptialis,Andrena nuptialis,bees,LC
Anthophora,laevigata,Anthophora laevigata,bees,DD
Anthophora,uniciliata,Anthophora uniciliata,bees,DD
Andrena,lonicera,Andrena lonicera,bees,CR
Hylaeus,canariensis,Hylaeus canariensis,bees,LC
Nomada,barcelonensis,Nomada barcelonensis,bees,NT
Andrena,tricuspidata,Andrena tricuspidata,bees,LC
Lasioglossum,castilianum,Lasioglossum castilianum,bees,DD
Osmia,svenssoni,Osmia svenssoni,bees,EN
Sphecodes,atlanticus,Sphecodes atlanticus,bees,VU
Nomada,hispanica,Nomada hispanica,bees,LC
Andrena,olympica,Andrena olympica,bees,LC
Andrena,leucolippa,Andrena leucolippa,bees,LC
Andrena,strohmella,Andrena strohmella,bees,LC
Epeolus,compar,Epeolus compar,bees,LC
Lasioglossum,akroundicum,Lasioglossum akroundicum,bees,LC
Hylaeus,convergens,Hylaeus convergens,bees,LC
Andrena,standfussorum,Andrena standfussorum,bees,DD
Ammobates,dusmeti,Ammobates dusmeti,bees,CR
Tetralonia,hohmanni,Tetralonia hohmanni,bees,LC
Andrena,funerea,Andrena funerea,bees,LC
Lasioglossum,wollastoni,Lasioglossum wollastoni,bees,LC
Hoplitis,fabrei,Hoplitis fabrei,bees,LC
Andrena,chalcogastra,Andrena chalcogastra,bees,DD
Nomada,rufoabdominalis,Nomada rufoabdominalis,bees,EN
Stelis,franconica,Stelis franconica,bees,LC
Lasioglossum,loetum,Lasioglossum loetum,bees,LC
Dioxys,lanzarotensis,Dioxys lanzarotensis,bees,DD
Nomada,gransassoi,Nomada gransassoi,bees,LC
Andrena,fulva,Andrena fulva,bees,LC
Andrena,hillana,Andrena hillana,bees,DD
Lasioglossum,kotschyi,Lasioglossum kotschyi,bees,DD
Lasioglossum,alpigenum,Lasioglossum alpigenum,bees,LC
Dufourea,fortunata,Dufourea fortunata,bees,DD
Thyreus,hellenicus,Thyreus hellenicus,bees,DD
Nomada,nesiotica,Nomada nesiotica,bees,DD
Lasioglossum,chalcodes,Lasioglossum chalcodes,bees,VU
Andrena,grossella,Andrena grossella,bees,LC
Nomada,sicula,Nomada sicula,bees,EN
Ammobatoides,okalii,Ammobatoides okalii,bees,DD
Andrena,kornosica,Andrena kornosica,bees,LC
Nomada,kornosica,Nomada kornosica,bees,EN
Andrena,stabiana,Andrena stabiana,bees,LC
Nomada,orbitalis,Nomada orbitalis,bees,LC
Andrena,afrensis,Andrena afrensis,bees,LC
Megachile,rufescens,Megachile rufescens,bees,DD
Hoplitis,lepeletieri,Hoplitis lepeletieri,bees,LC
Nomada,verna,Nomada verna,bees,NT
Dufourea,styx,Dufourea styx,bees,LC
Osmia,palmae,Osmia palmae,bees,DD
Osmia,larochei,Osmia larochei,bees,NT
Anthophora,alluaudi,Anthophora alluaudi,bees,LC
Chelostoma,laticaudum,Chelostoma laticaudum,bees,LC
Melecta,caroli,Melecta caroli,bees,LC
Dufourea,paradoxa,Dufourea paradoxa,bees,LC
Pseudoanthidium,canariense,Pseudoanthidium canariense,bees,LC
Nomada,discedens,Nomada discedens,bees,LC
Lasioglossum,aureimontanum,Lasioglossum aureimontanum,bees,DD
Eucera,quilisi,Eucera quilisi,bees,VU
Lasioglossum,pleurospeculum,Lasioglossum pleurospeculum,bees,NT
Lasioglossum,minutulum,Lasioglossum minutulum,bees,NT
Andrena,farinosa,Andrena farinosa,bees,LC
Andrena,damara,Andrena damara,bees,DD
Lasioglossum,dusmeti,Lasioglossum dusmeti,bees,LC
Andrena,muscaria,Andrena muscaria,bees,LC
Hoplitis,villosa,Hoplitis villosa,bees,LC
Hylaeus,nivaliformis,Hylaeus nivaliformis,bees,LC
Hoplitis,loti,Hoplitis loti,bees,LC
Megachile,canescens,Megachile canescens,bees,LC
Stelis,ortizi,Stelis ortizi,bees,LC
Lasioglossum,viride,Lasioglossum viride,bees,LC
Hoplitis,ravouxi,Hoplitis ravouxi,bees,LC
Andrena,pastellensis,Andrena pastellensis,bees,DD
Osmia,madeirensis,Osmia madeirensis,bees,LC
Epeolus,sigillatus,Epeolus sigillatus,bees,VU
Rophites,thracius,Rophites thracius,bees,DD
Chelostoma,grande,Chelostoma grande,bees,NT
Andrena,trikalensis,Andrena trikalensis,bees,DD
Andrena,grozdanici,Andrena grozdanici,bees,DD
Hylaeus,alpinus,Hylaeus alpinus,bees,LC
Nomada,lamellata,Nomada lamellata,bees,DD
Hoplitis,holmboei,Hoplitis holmboei,bees,VU
Thyreus,hohmanni,Thyreus hohmanni,bees,LC
Hoplitis,zandeni,Hoplitis zandeni,bees,LC
Melecta,canariensis,Melecta canariensis,bees,DD
Chelostoma,transversum,Chelostoma transversum,bees,LC
Andrena,elata,Andrena elata,bees,LC
Osmia,dusmeti,Osmia dusmeti,bees,DD
Anthophora,orotavae,Anthophora orotavae,bees,LC
Andrena,pelopa,Andrena pelopa,bees,DD
Nomada,polemediana,Nomada polemediana,bees,DD
Anthophora,pulverosa,Anthophora pulverosa,bees,LC
Hylaeus,maderensis,Hylaeus maderensis,bees,DD
Hylaeus,ater,Hylaeus ater,bees,LC
Nomada,armata,Nomada armata,bees,LC
Andrena,suerinensis,Andrena suerinensis,bees,LC
Andrena,fria,Andrena fria,bees,LC
Megachile,canariensis,Megachile canariensis,bees,LC
Dufourea,trautmanni,Dufourea trautmanni,bees,LC
Epeolus,productulus,Epeolus productulus,bees,VU
Lasioglossum,corsicanum,Lasioglossum corsicanum,bees,LC
Andrena,nitidula,Andrena nitidula,bees,LC
Melecta,curvispina,Melecta curvispina,bees,LC
Nomada,rubricoxa,Nomada rubricoxa,bees,LC
Lasioglossum,lissonotum,Lasioglossum lissonotum,bees,VU
Stelis,hispanica,Stelis hispanica,bees,VU
Nomada,alpigena,Nomada alpigena,bees,EN
Megachile,hohmanni,Megachile hohmanni,bees,EN
Andrena,illyrica,Andrena illyrica,bees,DD
Dioxys,atlanticus,Dioxys atlanticus,bees,DD
Hylaeus,hyperpunctatus,Hylaeus hyperpunctatus,bees,LC
Andrena,montana,Andrena montana,bees,DD
Lasioglossum,tauricum,Lasioglossum tauricum,bees,DD
Nomada,concolor,Nomada concolor,bees,NT
Melecta,gracilipes,Melecta gracilipes,bees,DD
Hylaeus,crassanus,Hylaeus crassanus,bees,NT
Hylaeus,friesei,Hylaeus friesei,bees,NT
Lasioglossum,eurasicum,Lasioglossum eurasicum,bees,LC
Hylaeus,ibericus,Hylaeus ibericus,bees,EN
Andrena,concinna,Andrena concinna,bees,LC
Lasioglossum,ariadne,Lasioglossum ariadne,bees,CR
Nomada,illustris,Nomada illustris,bees,NT
Hylaeus,pyrenaicus,Hylaeus pyrenaicus,bees,NT
Hoplitis,ochraceicornis,Hoplitis ochraceicornis,bees,LC
Osmia,steinmanni,Osmia steinmanni,bees,NT
Andrena,semilaevis,Andrena semilaevis,bees,LC
Andrena,barbareae,Andrena barbareae,bees,DD
Hylaeus,teruelus,Hylaeus teruelus,bees,DD
Andrena,labiatula,Andrena labiatula,bees,CR
Hylaeus,deceptorius,Hylaeus deceptorius,bees,LC
Epeolus,siculus,Epeolus siculus,bees,DD
Anthophora,lieftincki,Anthophora lieftincki,bees,LC
Hylaeus,hohmanni,Hylaeus hohmanni,bees,LC
Andrena,pellucens,Andrena pellucens,bees,LC
Andrena,bayona,Andrena bayona,bees,LC
Andrena,solenopalpa,Andrena solenopalpa,bees,LC
Andrena,taxana,Andrena taxana,bees,VU
Anthophora,pruinosa,Anthophora pruinosa,bees,LC
Lasioglossum,leucomontanum,Lasioglossum leucomontanum,bees,EN
Andrena,sagittaria,Andrena sagittaria,bees,DD
Lasioglossum,breviventre,Lasioglossum breviventre,bees,EN
Andrena,dinizi,Andrena dinizi,bees,LC
Nomada,bolivari,Nomada bolivari,bees,DD
Anthophora,punctilabris,Anthophora punctilabris,bees,LC
Dufourea,lusitanica,Dufourea lusitanica,bees,LC
Nomada,hirtipes,Nomada hirtipes,bees,LC
Nomada,baccata,Nomada baccata,bees,VU
Anthophora,sichelii,Anthophora sichelii,bees,LC
Andrena,neovirida,Andrena neovirida,bees,DD
Andrena,korleviciana,Andrena korleviciana,bees,LC
Andrena,vacella,Andrena vacella,bees,LC
Hylaeus,adriaticus,Hylaeus adriaticus,bees,LC
Lasioglossum,setulosum,Lasioglossum setulosum,bees,EN
Andrena,anthrisci,Andrena anthrisci,bees,LC
Andrena,fimbriata,Andrena fimbriata,bees,LC
Andrena,graecella,Andrena graecella,bees,DD
Hylaeus,garrulus,Hylaeus garrulus,bees,DD
Eucera,gracilipes,Eucera gracilipes,bees,LC
Osmia,iberica,Osmia iberica,bees,NT
Megachile,binominata,Megachile binominata,bees,LC
Hoplitis,graeca,Hoplitis graeca,bees,LC
Andrena,roseipes,Andrena roseipes,bees,EN
Nomada,flava,Nomada flava,bees,LC
Dufourea,merceti,Dufourea merceti,bees,DD
Lasioglossum,orihuelicum,Lasioglossum orihuelicum,bees,NT
Osmia,balearica,Osmia balearica,bees,LC
Anthophora,lanzarotensis,Anthophora lanzarotensis,bees,NT
Andrena,sibthorpi,Andrena sibthorpi,bees,DD
Hoplitis,albatera,Hoplitis albatera,bees,DD
Lasioglossum,danuvium,Lasioglossum danuvium,bees,DD
Anthophora,porphyrea,Anthophora porphyrea,bees,VU
Hylaeus,koenigsmanni,Hylaeus koenigsmanni,bees,EN
Andrena,murana,Andrena murana,bees,LC
Andrena,chelma,Andrena chelma,bees,CR
Hoplitis,tkalcuella,Hoplitis tkalcuella,bees,LC
Eucera,codinai,Eucera codinai,bees,LC
Lasioglossum,arctifrons,Lasioglossum arctifrons,bees,LC
Andrena,montarca,Andrena montarca,bees,EN
Nomada,cypricola,Nomada cypricola,bees,EN
Dufourea,longiglossa,Dufourea longiglossa,bees,DD
Andrena,fulvata,Andrena fulvata,bees,LC
Hoplitis,tenuispina,Hoplitis tenuispina,bees,LC
Lasioglossum,vergilianum,Lasioglossum vergilianum,bees,DD
Nomada,standfussi,Nomada standfussi,bees,LC
Protosmia,minutula,Protosmia minutula,bees,LC
Andrena,helenica,Andrena helenica,bees,DD
Andrena,sandanskia,Andrena sandanskia,bees,LC
Chelostoma,hellenicum,Chelostoma hellenicum,bees,LC
Rophites,hellenicus,Rophites hellenicus,bees,LC
Dufourea,coeruleocephala,Dufourea coeruleocephala,bees,DD
Andrena,nilotica,Andrena nilotica,bees,NT
Andrena,bucephala,Andrena bucephala,bees,LC
Dufourea,iris,Dufourea iris,bees,DD
Hylaeus,hellenicus,Hylaeus hellenicus,bees,EN
Nomada,priesneri,Nomada priesneri,bees,LC
Andrena,sphecodimorpha,Andrena sphecodimorpha,bees,LC
Nomada,similis,Nomada similis,bees,LC
Sphecodes,pseudocrassus,Sphecodes pseudocrassus,bees,DD
Amegilla,canifrons,Amegilla canifrons,bees,LC
Osmia,ariadne,Osmia ariadne,bees,DD
Hylaeus,penalaris,Hylaeus penalaris,bees,DD
Andrena,lineolata,Andrena lineolata,bees,NT
Tetralonia,lyncea,Tetralonia lyncea,bees,LC
Megachile,baetica,Megachile baetica,bees,NT
Andrena,freygessneri,Andrena freygessneri,bees,NT
Andrena,rogenhoferi,Andrena rogenhoferi,bees,LC
Megachile,fuerteventurae,Megachile fuerteventurae,bees,LC
Panurginus,tyrolensis,Panurginus tyrolensis,bees,DD
Hylaeus,azorae,Hylaeus azorae,bees,DD
Hoplitis,hilbera,Hoplitis hilbera,bees,DD
Hoplitis,lithodorae,Hoplitis lithodorae,bees,LC
Hoplitis,manuelae,Hoplitis manuelae,bees,DD
Nomada,cretensis,Nomada cretensis,bees,LC
Sphecodes,combai,Sphecodes combai,bees,LC
Sphecodes,creticus,Sphecodes creticus,bees,LC
Sphecodes,cypricus,Sphecodes cypricus,bees,LC
Sphecodes,gomerensis,Sphecodes gomerensis,bees,DD
Sphecodes,larochei,Sphecodes larochei,bees,LC
Sphecodes,piceohirtus,Sphecodes piceohirtus,bees,VU
Sphecodes,rubripes,Sphecodes rubripes,bees,LC
Lasioglossum,ragusanum,Lasioglossum ragusanum,bees,DD
Nomada,gredosiana,Nomada gredosiana,bees,DD
Nomada,kriesteni,Nomada kriesteni,bees,LC
Nomada,mandibularis,Nomada mandibularis,bees,NT
Rhophitoides,epiroticus,Rhophitoides epiroticus,bees,LC
Anthophora,gallica,Anthophora gallica,bees,LC
Anthophora,nigrovittata,Anthophora nigrovittata,bees,LC
Andrena,batava,Andrena batava,bees,DD
Andrena,gredana,Andrena gredana,bees,LC
Andrena,pauxilla,Andrena pauxilla,bees,DD
Andrena,notata,Andrena notata,bees,DD
Andrena,dourada,Andrena dourada,bees,NT
Anthophora,balearica_new,Anthophora balearica_new,bees,LC
Chelostoma,stefanii,Chelostoma stefanii,bees,LC
Andrena,acuta,Andrena acuta,bees,LC
Andrena,benoisti,Andrena benoisti,bees,LC
Andrena,catula,Andrena catula,bees,LC
Andrena,fortipunctata,Andrena fortipunctata,bees,DD
Andrena,gomerensis,Andrena gomerensis,bees,LC
Andrena,pelagonia,Andrena pelagonia,bees,DD
Andrena,pirinia,Andrena pirinia,bees,DD
Melecta,rutenica,Melecta rutenica,bees,DD
Hoplitis,galichicae,Hoplitis galichicae,bees,VU
Stelis,hungarica,Stelis hungarica,bees,DD
Dasypoda,michezi,Dasypoda michezi,bees,DD
Megachile,troodica_new,Megachile troodica_new,bees,DD
Andrena,croatica,Andrena croatica,bees,DD
Andrena,croceiventris,Andrena croceiventris,bees,NT
Andrena,maderensis_new,Andrena maderensis_new,bees,LC
Andrena,gelriae_new,Andrena gelriae_new,bees,VU
Flavipanurgus,ibericus_new,Flavipanurgus ibericus_new,bees,NT
Flavipanurgus,kastiliensis,Flavipanurgus kastiliensis,bees,LC
Andrena,allosa_new,Andrena allosa_new,bees,NT
Megachile,apennina_new,Megachile apennina_new,bees,LC
Anthidiellum,breviusculum_new,Anthidiellum breviusculum_new,bees,LC
Hoplitis,perambigua,Hoplitis perambigua,bees,LC
Hoplitis,taurica,Hoplitis taurica,bees,DD
Hylaeus,decipiens,Hylaeus decipiens,bees,DD
Nomada,subcornuta,Nomada subcornuta,bees,LC
Systropha,grandimargo,Systropha grandimargo,bees,LC
Hoplitis,corcyraea,Hoplitis corcyraea,bees,DD
Andrena,wollastoni_new,Andrena wollastoni_new,bees,LC
Andrena,juliae,Andrena juliae,bees,DD
Andrena,ortizi,Andrena ortizi,bees,VU
Andrena,ghisbaini,Andrena ghisbaini,bees,DD
Andrena,laevicorpus,Andrena laevicorpus,bees,LC
Andrena,graciliata,Andrena graciliata,bees,DD
Andrena,lecana,Andrena lecana,bees,LC
Ammobates,melectoides_new,Ammobates melectoides_new,bees,EN
Seladonia,cretella,Seladonia cretella,bees,LC
Andrena,chaetogastra,Andrena chaetogastra,bees,CR
Andrena,robusta,Andrena robusta,bees,DD
Afranthidium,schulthessii,Afranthidium schulthessii,bees,LC
Hoplitis,bihamata,Hoplitis bihamata,bees,LC
Hoplitis,submanicata,Hoplitis submanicata,bees,LC
Andrena,antonellae,Andrena antonellae,bees,DD
Andrena,contracta,Andrena contracta,bees,VU
Andrena,foeniculae,Andrena foeniculae,bees,LC
Andrena,gades,Andrena gades,bees,DD
Andrena,juliana,Andrena juliana,bees,VU
Andrena,levante,Andrena levante,bees,DD
Andrena,pileata,Andrena pileata,bees,DD
Andrena,ramosa,Andrena ramosa,bees,LC
Halopanurgus,baldocki,Halopanurgus baldocki,bees,VU
Bombus,konradini,Bombus konradini,bees,EN
Bombus,renardi,Bombus renardi,bees,NT
Bombus,xanthopus,Bombus xanthopus,bees,LC
Eucera,matalae,Eucera matalae,bees,LC
Nomada,achaica,Nomada achaica,bees,DD
Nomada,breviscapa,Nomada breviscapa,bees,DD
Nomada,elsei,Nomada elsei,bees,EN
Nomada,gageae,Nomada gageae,bees,DD
Nomada,halophila,Nomada halophila,bees,VU
Nomada,legoffi,Nomada legoffi,bees,LC
Nomada,maxschwarzi,Nomada maxschwarzi,bees,DD
Nomada,simulatrix,Nomada simulatrix,bees,DD
Nomada,smiti,Nomada smiti,bees,LC
Nomada,teunisseni,Nomada teunisseni,bees,DD
Nomada,yermasoyiae,Nomada yermasoyiae,bees,DD
Tetralonia,gennargentui,Tetralonia gennargentui,bees,LC
Colletes,jansmiti,Colletes jansmiti,bees,DD
Hylaeus,mariannae,Hylaeus mariannae,bees,EN
Hylaeus,moniae,Hylaeus moniae,bees,DD
Dufourea,balearica,Dufourea balearica,bees,VU
Halictus,candiae,Halictus candiae,bees,EN
Halictus,toparensis,Halictus toparensis,bees,NT
Lasioglossum,aphrodite,Lasioglossum aphrodite,bees,LC
Hoplitis,stecki,Hoplitis stecki,bees,LC
Megachile,posti,Megachile posti,bees,DD
Protosmia,lusitanica,Protosmia lusitanica,bees,DD
Rhodanthidium,rufocinctum,Rhodanthidium rufocinctum,bees,LC
Andrena,erodiorum,Andrena erodiorum,bees,DD
Colletes,standfussi,Colletes standfussi,bees,DD
Andrena,heterodoxa,Andrena heterodoxa,bees,CR
Megachile,cressa,Megachile cressa,bees,DD
Megachile,cypricola,Megachile cypricola,bees,VU
Megachile,lucidifrons,Megachile lucidifrons,bees,DD
Andrena,pruinosa_new,Andrena pruinosa_new,bees,LC
Andrena,varuga,Andrena varuga,bees,LC
Sphecodes,aetnensis,Sphecodes aetnensis,bees,DD
Nomiapis,paulyi,Nomiapis paulyi,bees,LC
Andrena,parata,Andrena parata,bees,DD
Andrena,tenostra,Andrena tenostra,bees,DD
Andrena,isolata,Andrena isolata,bees,VU
Nomiapis,susannae,Nomiapis susannae,bees,LC
Nomada,montarco,Nomada montarco,bees,CR
Andrena,donata,Andrena donata,bees,LC
Bombus,argillaceus,Bombus argillaceus,bees,LC
Bombus,bohemicus,Bombus bohemicus,bees,LC
Ceratina,acuta,Ceratina acuta,bees,LC
Ceratina,albosticta,Ceratina albosticta,bees,NA
Ceratina,bispinosa,Ceratina bispinosa,bees,LC
Ceratina,callosa,Ceratina callosa,bees,LC
Ceratina,chalcites,Ceratina chalcites,bees,LC
Ceratina,chalybea,Ceratina chalybea,bees,LC
Ceratina,chrysomalla,Ceratina chrysomalla,bees,NT
Ceratina,cucurbitina,Ceratina cucurbitina,bees,LC
Ceratina,cyanea,Ceratina cyanea,bees,LC
Ceratina,dallatorreana,Ceratina dallatorreana,bees,LC
Ceratina,dentiventris,Ceratina dentiventris,bees,LC
Ceratina,loewi,Ceratina loewi,bees,LC
Ceratina,mandibularis,Ceratina mandibularis,bees,LC
Ceratina,mocsaryi,Ceratina mocsaryi,bees,LC
Ceratina,moricei,Ceratina moricei,bees,LC
Ceratina,nigroaenea,Ceratina nigroaenea,bees,LC
Ceratina,nigrolabiata,Ceratina nigrolabiata,bees,LC
Ceratina,parvula,Ceratina parvula,bees,LC
Ceratina,sakagamii,Ceratina sakagamii,bees,DD
Ceratina,saundersi,Ceratina saundersi,bees,LC
Ceratina,schwarzi,Ceratina schwarzi,bees,LC
Ceratina,tarsata,Ceratina tarsata,bees,NA
Ceratina,zandeni,Ceratina zandeni,bees,NA
Ceratina,zwakhalsi,Ceratina zwakhalsi,bees,NA
Dasypoda,albimana,Dasypoda albimana,bees,DD
Dasypoda,argentata,Dasypoda argentata,bees,VU
Dasypoda,braccata,Dasypoda braccata,bees,EN
Dasypoda,cingulata,Dasypoda cingulata,bees,LC
Dasypoda,crassicornis,Dasypoda crassicornis,bees,LC
Dasypoda,dusmeti,Dasypoda dusmeti,bees,LC
Dasypoda,frieseana,Dasypoda frieseana,bees,EN
Dasypoda,hirtipes,Dasypoda hirtipes,bees,LC
Dasypoda,pyriformis,Dasypoda pyriformis,bees,LC
Dasypoda,pyrotrichia,Dasypoda pyrotrichia,bees,LC
Dasypoda,spinigera,Dasypoda spinigera,bees,EN
Dasypoda,suripes,Dasypoda suripes,bees,EN
Dasypoda,visnaga,Dasypoda visnaga,bees,LC
Macropis,europaea,Macropis europaea,bees,LC
Macropis,frivaldszkyi,Macropis frivaldszkyi,bees,NT
Macropis,fulvipes,Macropis fulvipes,bees,LC
Melitta,aegyptiaca,Melitta aegyptiaca,bees,NT
Melitta,budensis,Melitta budensis,bees,LC
Melitta,dimidiata,Melitta dimidiata,bees,NT
Melitta,haemorrhoidalis,Melitta haemorrhoidalis,bees,LC
Melitta,leporina,Melitta leporina,bees,LC
Melitta,maura,Melitta maura,bees,DD
Melitta,melanura,Melitta melanura,bees,EN
Melitta,nigricans,Melitta nigricans,bees,LC
Melitta,schmiedeknechti,Melitta schmiedeknechti,bees,DD
Melitta,tricincta,Melitta tricincta,bees,NT
Xylocopa,amedaei,Xylocopa amedaei,bees,NA
Xylocopa,cantabrita,Xylocopa cantabrita,bees,LC
Xylocopa,iris,Xylocopa iris,bees,LC
Xylocopa,olivieri,Xylocopa olivieri,bees,LC
Xylocopa,valga,Xylocopa valga,bees,LC
Xylocopa,violacea,Xylocopa violacea,bees,LC
Bombus,brodmannicus,Bombus brodmannicus,bees,NT
Bombus,campestris,Bombus campestris,bees,LC
Bombus,cingulatus,Bombus cingulatus,bees,NT
Bombus,confusus,Bombus confusus,bees,VU
Bombus,consobrinus,Bombus consobrinus,bees,NT
Bombus,cryptarum,Bombus cryptarum,bees,LC
Bombus,deuteronymus,Bombus deuteronymus,bees,DD
Bombus,distinguendus,Bombus distinguendus,bees,VU
Bombus,flavidus,Bombus flavidus,bees,LC
Bombus,fragrans,Bombus fragrans,bees,EN
Bombus,gerstaeckeri,Bombus gerstaeckeri,bees,NT
Bombus,glacialis,Bombus glacialis,bees,VU
Bombus,haematurus,Bombus haematurus,bees,LC
Bombus,humilis,Bombus humilis,bees,LC
Bombus,hypnorum,Bombus hypnorum,bees,LC
Bombus,jonellus,Bombus jonellus,bees,LC
Bombus,lapidarius,Bombus lapidarius,bees,LC
Bombus,mesomelas,Bombus mesomelas,bees,LC
Bombus,mlokosievitzii,Bombus mlokosievitzii,bees,DD
Bombus,modestus,Bombus modestus,bees,VU
Bombus,niveatus,Bombus niveatus,bees,LC
Bombus,norvegicus,Bombus norvegicus,bees,LC
Bombus,pascuorum,Bombus pascuorum,bees,LC
Bombus,patagiatus,Bombus patagiatus,bees,NT
Bombus,pomorum,Bombus pomorum,bees,VU
Bombus,pratorum,Bombus pratorum,bees,LC
Bombus,quadricolor,Bombus quadricolor,bees,LC
Bombus,ruderarius,Bombus ruderarius,bees,LC
Bombus,ruderatus,Bombus ruderatus,bees,LC
Bombus,rupestris,Bombus rupestris,bees,LC
Bombus,saltuarius,Bombus saltuarius,bees,NA
Bombus,schrencki,Bombus schrencki,bees,LC
Bombus,semenoviellus,Bombus semenoviellus,bees,LC
Bombus,sichelii,Bombus sichelii,bees,LC
Bombus,soroeensis,Bombus soroeensis,bees,LC
Bombus,sporadicus,Bombus sporadicus,bees,NT
Bombus,subterraneus,Bombus subterraneus,bees,NT
Bombus,sylvarum,Bombus sylvarum,bees,LC
Bombus,sylvestris,Bombus sylvestris,bees,LC
