"","sample","Estimator","region_year","region_100","endYear","record_count"
"64","Ralpine_Y1984",59.1674576000046,"Ralpine_Y1984","alpine",1984,1831
"65","Ralpine_Y1985",47.1516338420247,"Ralpine_Y1985","alpine",1985,2110
"66","Ralpine_Y1986",58.0301936269831,"Ralpine_Y1986","alpine",1986,2829
"67","Ralpine_Y1987",62.5599186395579,"Ralpine_Y1987","alpine",1987,1577
"68","Ralpine_Y1988",63.755417281268,"Ralpine_Y1988","alpine",1988,1708
"69","Ralpine_Y1989",65.9142702660449,"Ralpine_Y1989","alpine",1989,3507
"70","Ralpine_Y1990",76.3664026217,"Ralpine_Y1990","alpine",1990,2036
"71","Ralpine_Y1991",76.7045948607166,"Ralpine_Y1991","alpine",1991,4413
"72","Ralpine_Y1992",73.1644860335326,"Ralpine_Y1992","alpine",1992,5134
"73","Ralpine_Y1993",75.2232469080605,"Ralpine_Y1993","alpine",1993,5003
"74","Ralpine_Y1994",60.5780269175876,"Ralpine_Y1994","alpine",1994,5035
"75","Ralpine_Y1995",71.6674270769947,"Ralpine_Y1995","alpine",1995,4023
"76","Ralpine_Y1996",74.9590556818708,"Ralpine_Y1996","alpine",1996,3921
"77","Ralpine_Y1997",55.3704374383461,"Ralpine_Y1997","alpine",1997,15612
"78","Ralpine_Y1998",71.4717352835115,"Ralpine_Y1998","alpine",1998,5412
"79","Ralpine_Y1999",59.0579643730046,"Ralpine_Y1999","alpine",1999,5141
"80","Ralpine_Y2000",64.4038977295494,"Ralpine_Y2000","alpine",2000,4643
"81","Ralpine_Y2001",56.8061617037401,"Ralpine_Y2001","alpine",2001,9238
"82","Ralpine_Y2002",58.6010885055574,"Ralpine_Y2002","alpine",2002,9530
"83","Ralpine_Y2003",49.5824434456095,"Ralpine_Y2003","alpine",2003,5581
"84","Ralpine_Y2004",68.4395292717835,"Ralpine_Y2004","alpine",2004,4390
"85","Ralpine_Y2005",64.1774306833585,"Ralpine_Y2005","alpine",2005,8114
"86","Ralpine_Y2006",61.6784810971361,"Ralpine_Y2006","alpine",2006,10838
